单品编码,单品名称,有效销售天数,P50,P75,P90,P95,P99
102900005116943,红杭椒,588,0.877,1.433,2.134,2.577,4.555
102900005117056,泡泡椒(精品),228,37.713,53.362,64.527,76.323,117.34
102900005117209,七彩椒(1),284,0.604,1.101,1.784,2.139,5.405
102900005117353,白玉菇(1),8,2.5,4.0,4.3,4.65,4.93
102900005118572,本地上海青,61,8.727,12.404,18.022,19.906,25.552
102900005118817,菠菜,730,6.112,8.638,11.995,17.414,30.467
102900005118824,高瓜(1),544,1.78,2.693,4.273,5.407,7.849
102900005118831,娃娃菜,688,9.0,15.0,26.0,37.3,59.52
102900005119098,双孢菇,224,2.845,3.395,4.27,5.392,6.911
102900005119104,蟹味菇(1),51,2.0,3.0,4.0,4.0,5.0
102900005119944,海鲜菇(1),326,1.482,1.952,2.386,3.107,4.477
102900005119968,青杭椒(2),90,1.26,1.961,2.755,3.461,4.924
102900005119975,红薯尖,567,6.645,12.881,17.053,22.329,43.725
102900005122654,枝江红菜苔,384,8.561,15.356,29.23,42.889,68.241
102900005123880,灯笼椒(1),217,0.751,1.216,1.774,2.335,4.63
102900005125808,小米椒,585,2.112,3.005,3.939,4.835,11.187
102900005125815,杏鲍菇(1),452,3.998,6.866,11.24,12.296,15.286
102900005128748,黄花菜,6,0.238,0.417,0.562,0.616,0.659
102900011000175,快菜,10,9.316,9.922,10.17,10.243,10.301
102900011000328,螺丝椒,858,7.069,11.81,17.424,21.517,36.681
102900011000335,紫圆茄,8,0.706,1.252,1.684,2.104,2.441
102900011000571,随州泡泡青,142,3.609,6.743,9.442,10.763,23.338
102900011000632,紫白菜(1),15,0.798,1.356,1.526,1.572,1.577
102900011000861,红线椒,32,0.696,1.111,1.657,2.203,2.707
102900011001219,红灯笼椒(1),272,0.782,1.348,1.999,2.531,4.443
102900011001561,莲蓬(个),86,20.0,35.0,50.0,55.0,80.0
102900011001691,菱角,105,0.934,1.447,2.488,3.402,4.177
102900011001806,姬菇(包),359,2.0,4.0,6.0,7.0,10.42
102900011001813,金针菇(袋)(1),123,10.0,15.5,37.2,65.8,133.34
102900011002414,田七,96,0.401,0.647,0.889,0.995,1.217
102900011006689,东门口小白菜,435,2.782,4.685,7.364,8.884,11.074
102900011006948,外地茼蒿,269,2.344,3.903,4.96,5.866,8.812
102900011006955,冰草,17,0.766,1.314,1.726,2.339,3.712
102900011007044,银耳(朵),141,2.0,3.0,4.0,5.0,6.6
102900011007464,紫苏,84,0.278,0.54,0.708,0.843,1.406
102900011007471,薄荷叶,31,0.167,0.356,0.449,0.533,0.699
102900011007495,蒲公英,18,0.154,0.299,0.471,0.695,0.888
102900011007969,红莲藕带,96,0.818,1.185,2.276,2.844,4.14
102900011008133,丝瓜尖,19,0.497,0.788,1.257,1.557,2.722
102900011008164,奶白菜,762,7.056,9.163,13.907,17.786,23.437
102900011008485,芥菜,14,3.398,5.049,6.482,8.036,9.918
102900011008492,大芥兰,2,3.74,4.344,4.706,4.826,4.923
102900011008515,面条菜,33,0.226,0.594,0.784,1.071,1.188
102900011008522,甜白菜,340,11.35,18.051,28.616,35.376,50.777
102900011008577,猴头菇,3,1.0,1.0,1.0,1.0,1.0
102900011008676,荠菜,14,1.16,1.279,2.073,2.266,2.524
102900011009246,鲜木耳(1),252,0.72,1.081,1.543,1.872,2.735
102900011009277,荸荠,213,5.629,10.626,15.74,18.557,42.2
102900011009444,大龙茄子,197,4.461,8.284,13.091,15.382,18.709
102900011009772,水果辣椒(橙色),1,0.415,0.415,0.415,0.415,0.415
102900011009970,青梗散花,444,16.756,23.827,31.712,38.267,68.014
102900011010563,鸡枞菌,3,0.475,0.53,0.562,0.573,0.582
102900011010891,野藕(1),164,2.29,3.843,5.827,6.284,8.039
102900011011058,黑牛肝菌,3,0.224,0.431,0.555,0.597,0.63
102900011011546,海鲜菇(袋)(1),172,5.0,9.0,15.0,21.0,31.74
102900011011669,秀珍菇,17,0.688,1.123,1.494,1.807,2.372
102900011012482,茶树菇(袋),48,2.0,2.25,3.0,4.0,4.0
102900011012871,黑皮鸡枞菌,16,0.248,0.489,0.633,0.795,1.042
102900011012994,杏鲍菇(袋),327,2.0,4.5,7.0,10.0,22.74
102900011013274,白玉菇(袋),698,3.0,5.0,8.0,10.0,19.06
102900011015384,马兰头,14,0.216,0.275,0.406,0.524,0.624
102900011015391,甘蓝叶,1,0.943,0.943,0.943,0.943,0.943
102900011016701,芜湖青椒(1),858,28.0,40.215,54.856,66.503,124.145
102900011016909,花茄子,81,0.845,1.521,2.232,3.213,6.367
102900011018095,虫草花(袋),141,6.0,9.0,12.0,13.0,22.8
102900011018132,野生粉藕,23,1.729,3.152,4.619,5.996,6.195
102900011021644,洪山菜苔,11,1.0,2.0,4.0,7.0,9.4
102900011021675,赤松茸,3,0.84,1.002,1.1,1.132,1.158
102900011021699,牛排菇,10,0.588,0.861,0.958,1.271,1.522
102900011021842,洪湖莲藕(粉藕),393,11.0,19.0,31.0,40.0,101.08
102900011022030,组合椒系列,176,3.0,5.0,7.0,9.0,13.25
102900011022764,长线茄,454,4.471,7.542,10.261,12.753,19.194
102900011022849,本地黄心油菜,115,10.558,16.285,21.676,25.977,34.601
102900011022924,青菜苔,3,10.706,11.832,12.507,12.732,12.912
102900011023075,活体银耳,1,1.0,1.0,1.0,1.0,1.0
102900011023464,小青菜(1),492,6.53,8.414,10.285,13.181,17.736
102900011023976,净藕(2),8,4.582,9.862,15.146,20.15,24.153
102900011024010,鲜藕带(袋),7,3.0,3.0,4.6,5.8,6.76
102900011026502,鲜粽子叶,8,0.677,1.053,1.356,1.406,1.445
102900011026618,艾蒿,4,2.501,3.55,4.344,4.609,4.821
102900011026793,杏鲍菇(250克),5,2.0,3.0,3.0,3.0,3.0
102900011027462,奶白菜苗,4,4.715,4.885,5.003,5.042,5.073
102900011027479,小皱皮,81,1.665,3.071,4.288,5.358,7.365
102900011027615,菊花油菜,5,0.993,1.032,3.343,4.113,4.729
102900011028407,余干椒,20,1.214,2.402,3.903,4.124,4.512
102900011029176,辣妹子,73,1.275,2.157,3.3,3.487,5.493
102900011029275,紫尖椒,2,0.877,1.156,1.323,1.379,1.424
102900011029299,紫螺丝椒,10,0.443,0.896,1.291,1.628,1.898
102900011029305,水果辣椒,30,0.995,1.328,1.624,1.713,1.804
102900011029688,双沟白菜,2,1.443,1.804,2.02,2.092,2.15
102900011030042,枝江红菜苔(份),52,5.0,8.0,9.9,11.35,17.45
102900011030059,云南生菜(份),400,34.0,48.0,64.2,76.1,111.04
102900011030097,云南油麦菜(份),410,17.5,29.0,42.0,51.0,78.73
102900011030103,茼蒿(份),83,8.0,9.0,10.0,11.0,12.36
102900011030110,菠菜(份),386,15.0,21.0,31.0,35.0,52.3
102900011030134,菜心(份),275,6.0,10.5,14.0,16.3,20.0
102900011030141,上海青(份),287,7.0,14.0,22.4,28.7,35.28
102900011030158,小青菜(2),46,6.0,8.0,10.0,10.75,13.65
102900011030400,洪山菜薹珍品手提袋,1,3.0,3.0,3.0,3.0,3.0
102900011030417,洪山菜薹莲藕拼装礼盒,3,1.0,1.0,1.0,1.0,1.0
102900011030561,赤松茸(盒),5,1.0,1.0,1.0,1.0,1.0
102900011030608,牛排菇(盒),25,1.0,1.0,3.0,3.8,4.0
102900011030615,猪肚菇(盒),6,1.0,1.0,1.5,1.75,1.95
102900011030622,黑牛肝菌(盒),3,1.0,1.5,1.8,1.9,1.98
102900011030639,黑皮鸡枞菌(盒),3,1.0,1.5,1.8,1.9,1.98
102900011030905,鱼腥草(份),130,2.5,5.0,8.0,9.0,15.71
102900011030912,海鲜菇(份),162,8.0,11.0,14.0,17.0,23.0
102900011030929,鲜木耳(份),182,3.0,5.0,8.0,9.0,11.38
102900011031100,小米椒(份),488,20.0,29.0,38.0,46.3,59.26
102900011031216,冰草(盒),23,1.0,1.5,2.0,2.0,2.0
102900011031582,青尖椒(份),193,4.0,7.0,8.0,9.4,16.16
102900011031599,杏鲍菇(份),19,7.0,8.0,9.0,9.0,9.0
102900011031735,七彩椒(份),10,2.0,2.0,2.2,3.1,3.82
102900011031742,灯笼椒(份),4,1.0,1.5,2.4,2.7,2.94
102900011031759,红灯笼椒(份),8,1.5,2.0,2.3,2.65,2.93
102900011031841,双孢菇(份),4,1.5,3.0,4.8,5.4,5.88
102900011031858,金针菇(份),1,1.0,1.0,1.0,1.0,1.0
102900011031926,虫草花(份),245,4.0,6.0,7.0,9.0,16.0
102900011031995,姬菇(份),100,6.0,9.25,13.0,15.0,18.03
102900011032022,小皱皮(份),441,10.0,16.0,23.0,29.0,39.0
102900011032114,荸荠(份),6,1.5,2.0,2.5,2.75,2.95
102900011032176,紫苏(份),33,1.0,1.0,2.0,2.0,2.68
102900011032206,青杭椒(份),110,3.0,5.75,9.1,10.55,12.91
102900011032213,红杭椒(份),192,3.0,5.0,8.0,10.0,12.09
102900011032220,水果辣椒(份),85,3.0,5.0,6.0,7.8,9.0
102900011032237,青线椒(份),280,7.0,12.0,16.0,19.05,27.68
102900011032244,红尖椒(份),246,3.0,5.0,7.0,10.0,12.0
102900011032251,螺丝椒(份),382,20.0,31.0,45.0,49.95,63.0
102900011032282,襄甜红菜苔(袋),7,3.0,4.0,12.8,19.4,24.68
102900011032343,七彩椒(2),258,1.181,2.034,2.917,3.475,4.784
102900011032350,灯笼椒(2),101,0.645,1.021,1.499,1.687,2.57
102900011032367,红灯笼椒(2),182,0.81,1.428,2.334,2.68,6.125
102900011032480,白蒿,14,0.178,0.186,0.202,0.243,0.294
102900011032589,鱼腥草,31,0.761,1.408,1.714,1.97,2.521
102900011032619,西峡香菇(2),69,4.407,7.259,12.759,14.677,26.956
102900011032626,鲜木耳(2),41,0.616,0.917,1.347,1.448,1.797
102900011032633,海鲜菇(2),43,1.04,1.57,2.223,2.848,3.319
102900011032640,姬菇(2),33,0.449,0.631,0.87,1.239,1.336
102900011032732,高瓜(2),159,1.838,4.571,6.547,7.733,8.634
102900011032787,竹叶菜(份),78,5.5,23.0,34.3,40.6,54.38
102900011032848,姜蒜小米椒组合装(小份),366,4.0,7.0,10.0,12.0,16.35
102900011033081,春菜,22,0.798,1.626,1.959,2.055,3.609
102900011033173,槐花,20,0.296,0.554,1.174,1.36,1.372
102900011033234,红薯尖(份),58,13.0,19.0,23.3,29.15,34.43
102900011033241,蔡甸藜蒿(份),16,3.5,5.0,6.5,8.0,10.4
102900011033531,红珊瑚(粗叶),1,0.682,0.682,0.682,0.682,0.682
102900011033562,红橡叶,1,0.419,0.419,0.419,0.419,0.419
102900011033586,绿牛油,1,1.153,1.153,1.153,1.153,1.153
102900011033906,保康高山大白菜,200,27.388,42.486,64.699,78.404,100.132
102900011033913,紫白菜(2),2,0.308,0.358,0.388,0.398,0.406
102900011033920,黄心菜(2),223,7.557,11.77,15.793,18.268,32.594
102900011033937,金针菇(2),89,5.185,6.964,9.385,10.924,12.896
102900011033944,杏鲍菇(2),293,4.145,5.737,7.885,8.956,13.432
102900011033968,西峡花菇(2),10,0.634,1.539,1.883,2.196,2.446
102900011033975,青茄子(2),52,2.217,5.032,8.245,11.122,17.556
102900011033982,紫茄子(1),44,5.445,9.212,12.156,14.146,36.477
102900011033999,圆茄子(1),3,0.368,2.326,3.5,3.891,4.205
102900011034026,枝江青梗散花,337,15.831,23.046,31.163,36.625,46.06
102900011034200,苋菜(份),56,7.0,11.25,15.5,19.5,23.35
102900011034217,小白菜(份),47,7.0,10.0,13.0,13.7,14.54
102900011034224,小青菜(份),179,22.0,33.0,40.2,44.3,53.66
102900011034231,奶白菜(份),244,26.0,37.0,49.0,55.0,64.14
102900011034262,红椒(份),27,2.0,4.5,8.4,9.7,10.0
102900011034316,芝麻苋菜,1,9.381,9.381,9.381,9.381,9.381
102900011034323,鲜粽叶,9,0.693,0.789,0.949,1.172,1.35
102900011034330,双孢菇(盒),293,13.0,18.0,23.0,26.0,31.8
102900011034354,鲜粽叶(袋)(1),7,7.0,12.0,73.0,116.5,151.3
102900011034439,青红杭椒组合装(份),228,5.0,7.0,11.0,12.0,18.73
102900011034538,花菇(一人份),3,1.0,1.0,1.0,1.0,1.0
102900011034569,洪湖莲藕(脆藕),12,2.5,4.0,4.9,8.15,11.23
102900011034705,菌菇火锅套餐(份),4,2.0,3.0,3.0,3.0,3.0
102900011035078,红椒(2),288,2.352,3.469,4.893,5.859,8.69
102900011035481,外地茼蒿(份),22,5.0,6.75,10.9,11.95,14.37
102900011035511,净藕(3),70,4.57,6.719,9.098,10.628,13.677
102900011035740,蟹味菇与白玉菇双拼(盒),137,2.0,3.0,5.0,7.0,8.64
102900011035764,龙牙菜,63,2.193,4.155,7.088,7.577,9.633
102900011035771,黄白菜(1),70,1.334,2.863,5.082,6.909,10.096
102900011035788,西峡香菇(份) ,65,5.0,7.0,11.2,16.2,28.24
102900011035849,大白菜秧,4,4.334,5.634,6.573,6.886,7.136
102900011035962,野藕(2),6,1.447,2.256,3.496,4.028,4.454
102900011036068,菌蔬四宝(份),4,3.5,4.25,4.7,4.85,4.97
102900011036242,青红尖椒组合装(份),24,1.0,2.0,3.7,4.85,5.77
102900011036266,鹿茸菇(盒),2,1.5,1.75,1.9,1.95,1.99
102900011036686,木耳菜(份),25,1.0,1.0,1.0,1.8,2.0
102900051000463,圆茄子(2),501,1.459,2.491,4.321,6.206,11.282
102900051000890,芥兰,1,0.671,0.671,0.671,0.671,0.671
102900051000944,洪湖藕带,258,2.338,4.263,5.644,6.929,9.741
102900051004294,青线椒,747,2.583,3.878,5.111,6.134,8.493
102900051006229,藕尖,3,7.854,9.143,9.916,10.174,10.38
102900051009220,油菜苔,18,1.958,3.416,4.365,4.482,4.794
102900051009336,虫草花,82,0.465,0.643,0.914,1.012,1.636
102900051010455,黄白菜(2),904,5.966,11.443,18.512,26.837,43.96
102900051010790,紫贝菜,53,0.401,0.667,0.913,1.167,1.452
106930274220092,蟹味菇(袋),100,3.0,4.0,7.1,11.1,29.01
106930274620090,海鲜菇(袋)(2),51,12.0,18.5,22.0,28.0,36.5
106931885000035,绣球菌,6,1.0,1.0,1.5,1.75,1.95
106931885000356,绣球菌(袋),2,1.0,1.0,1.0,1.0,1.0
106949711300068,金针菇(袋)(3),258,6.0,12.0,21.3,28.15,47.43
106949711300167,金针菇(袋)(2),215,12.0,18.0,28.0,36.3,64.04
106949711300259,金针菇(盒),429,27.0,46.0,71.0,92.4,167.16
106956146480197,白玉菇(2),59,5.0,5.0,7.0,7.0,8.0
106956146480203,蟹味菇(2),32,2.5,4.0,5.0,6.45,8.38
106957634300010,白玉菇(盒),42,3.0,5.75,7.9,9.9,15.54
106957634300058,蟹味菇(盒),32,2.0,3.25,5.0,5.45,6.0
106958851400125,海鲜菇(袋)(4),314,5.0,9.0,14.0,19.35,23.87
106971533450003,海鲜菇(包),119,11.0,14.5,20.0,22.0,24.82
106971533455008,海鲜菇(袋)(3),240,6.0,10.0,15.0,18.05,28.61
106971563780002,鲜粽叶(袋)(2),4,1.5,2.5,3.4,3.7,3.94
106972776821582,鲜粽叶(袋)(3),31,2.0,3.0,6.0,15.0,33.5
106973223300667,虫草花(盒)(2),1,1.0,1.0,1.0,1.0,1.0
106973990980123,和丰阳光海鲜菇(包),19,6.0,9.0,10.0,10.0,10.0
