销售日期,分类编码,分类名称,净销量,售出量,销售额,打折销量,正常销量,售出记录数,退货记录数,在售单品数,均价,平均损耗率,批发价均值,批发价加权,加价率
2020-07-03,1011010501,茄类,35.896,35.896,196.243,0.0,35.896,57,0,2,5.466987965232895,6.68,5.1869678041801475,3.964099621127702,0.3791247667175561
2020-07-03,1011010504,辣椒类,64.253,64.253,670.6646,0.0,64.253,227,0,10,10.43787216161113,9.24,6.151445037119677,6.253733677804927,0.6690624672195578
2020-07-03,1011010801,食用菌,42.442,42.442,546.295,0.0,42.442,149,0,5,12.871565901701144,9.45,8.3652695546711,7.357773667593423,0.749383235093608
2020-07-04,1011010101,花叶类,236.587,236.587,1841.4,2.0140000000000002,234.573,526,0,13,7.783183353269623,12.83,8.20679671739224,4.807090372674745,0.6191048534290255
2020-07-04,1011010201,花菜类,55.662,55.662,702.186,0.0,55.662,126,0,2,12.615177320254393,15.51,7.708822140822141,8.217534763393338,0.5351535081361916
2020-07-04,1011010402,水生根茎类,5.439,5.439,118.7532,0.0,5.439,16,0,2,21.83364589078875,13.65,7.52566871024848,14.01511858797573,0.557863799277512
2020-07-04,1011010501,茄类,57.067,57.067,327.403,0.0,57.067,99,0,2,5.7371685913049575,6.68,4.974967804180148,3.114950146319239,0.8418171469242441
2020-07-04,1011010504,辣椒类,81.282,81.282,826.4166,0.444,80.838,293,0,10,10.167276887871854,9.24,6.12077837045301,5.714687261632341,0.7791484332193668
2020-07-04,1011010801,食用菌,47.262,47.262,578.7036,0.438,46.824,171,0,5,12.244585502094708,9.45,8.37638066578221,7.335156785578267,0.6693011288005355
2020-07-05,1011010101,花叶类,223.899,223.899,1573.1793,4.253,219.64600000000002,508,0,13,7.026289978963729,12.83,8.21899671739224,4.273393271073117,0.6441945623224412
2020-07-05,1011010201,花菜类,55.474,55.474,697.982,0.0,55.474,106,0,2,12.582146591195876,15.51,7.792822140822141,8.397157587338214,0.4983816202482687
2020-07-05,1011010402,水生根茎类,4.019,4.019,40.19,0.0,4.019,12,0,1,10.0,13.65,7.5261950260379535,5.42,0.845018450184502
2020-07-05,1011010501,茄类,61.816,61.816,411.3631,0.874,60.942,111,0,3,6.654637957810275,6.68,5.280747146903153,4.021894978646305,0.6546026172095876
2020-07-05,1011010504,辣椒类,98.496,98.496,1016.2366,0.465,98.031,352,0,10,10.317541829109812,9.24,6.1761117037863436,6.041138015756985,0.7078805023488561
2020-07-05,1011010801,食用菌,73.213,73.213,732.6238,0.0,73.213,207,0,5,10.006744703809433,9.45,8.378576036152582,5.885503803969241,0.7002358739553931
2020-07-06,1011010101,花叶类,195.74,195.74,1511.5968,12.301,183.439,419,0,14,7.722472667824666,12.83,8.19379671739224,4.8642002145703485,0.587614063395782
2020-07-06,1011010201,花菜类,42.721000000000004,42.721000000000004,506.3038,0.444,42.277,86,0,2,11.851403291121462,15.51,7.92882214082214,7.819140937712131,0.5156912230551463
2020-07-06,1011010402,水生根茎类,3.089,3.089,30.7757,0.381,2.708,11,0,1,9.962997733894465,13.65,7.527773973406375,5.449999999999999,0.8280729786962324
2020-07-06,1011010501,茄类,30.727,30.727,201.412,0.0,30.727,57,0,3,6.554886581833567,6.68,5.023747146903153,3.3203700328701142,0.9741433987607548
2020-07-06,1011010504,辣椒类,58.682,58.682,645.2908,0.0,58.682,223,0,10,10.996400940663236,9.24,6.202111703786343,6.224900310146212,0.7665184007428627
2020-07-06,1011010801,食用菌,40.578,40.578,487.603,1.0,39.578,137,0,6,12.01643747843659,9.45,8.37857603615258,7.178352555571984,0.6739826283830521
2020-07-07,1011010101,花叶类,178.052,175.052,1348.709,15.177,159.875,382,0,15,7.704619198866623,12.83,8.18129671739224,4.79319522199118,0.6074077608017778
2020-07-07,1011010201,花菜类,45.749,45.749,526.991,0.0,45.749,97,0,2,11.519180747120155,15.51,7.832822140822141,7.314270475857396,0.5748912738655387
2020-07-07,1011010402,水生根茎类,3.117,3.117,31.17,0.0,3.117,11,0,1,10.0,13.65,7.528300289195849,5.460000000000001,0.8315018315018312
2020-07-07,1011010501,茄类,32.112,32.112,186.848,0.0,32.112,56,0,2,5.818634778276034,6.68,5.049747146903153,3.2775784753363224,0.7752846566637785
2020-07-07,1011010504,辣椒类,42.213,42.213,531.0704,0.0,42.213,191,0,10,12.580731054414516,9.24,6.234556148230788,6.812150522350934,0.8468075555783217
2020-07-07,1011010801,食用菌,52.56,52.56,622.3339,1.441,51.119,175,0,7,11.84044710806697,9.45,8.410339974003476,6.96486111111111,0.7000263062213532
2020-07-08,1011010101,花叶类,164.57,158.57,1251.845,15.216,143.354,336,0,16,7.894589140442707,12.83,8.19439671739224,4.843609699186479,0.6298978717811765
2020-07-08,1011010201,花菜类,45.433,45.433,532.102,0.0,45.433,95,0,2,11.711795391015341,15.51,7.784822140822141,7.34181167873572,0.5952187148761279
2020-07-08,1011010402,水生根茎类,10.605,10.605,155.484,0.0,10.605,26,0,2,14.661386138613862,13.65,7.697515697847347,8.21244884488449,0.7852636181406958
2020-07-08,1011010501,茄类,39.67,39.67,232.2832,0.576,39.094,64,0,2,5.855386942273758,6.68,5.096747146903153,3.5347244769347115,0.6565327737655833
2020-07-08,1011010504,辣椒类,65.88,65.88,768.061,2.6470000000000002,63.233,242,0,10,11.658485124468733,9.24,6.242778370453011,6.454160595021251,0.806351879973688
2020-07-08,1011010801,食用菌,43.968,43.968,565.4192,0.0,43.968,153,0,5,12.859788937409025,9.45,8.410062196225699,7.607784297671032,0.6903461552328432
2020-07-09,1011010101,花叶类,187.439,187.439,1395.7574,0.288,187.151,391,0,15,7.446462048986604,12.83,8.192296717392239,4.544924695500937,0.6384126356060256
2020-07-09,1011010201,花菜类,41.131,41.131,496.204,0.0,41.131,89,0,2,12.063990663976076,15.51,7.760822140822141,7.550888867277722,0.5976914607042068
2020-07-09,1011010402,水生根茎类,2.106,2.106,21.060000000000002,0.0,2.106,7,0,1,10.000000000000002,13.65,7.697515697847347,5.47,0.828153564899452
2020-07-09,1011010501,茄类,25.921,25.921,205.51999999999998,0.0,25.921,48,0,3,7.928706454226303,6.68,4.983747146903153,3.898585316924501,1.033739372024585
2020-07-09,1011010504,辣椒类,58.86,58.86,615.355,0.0,58.86,219,0,10,10.454553177030242,9.24,6.197667259341899,5.690378015630309,0.8372335103772919
2020-07-09,1011010801,食用菌,37.837,37.837,464.1238,0.0,37.837,133,0,5,12.266400613156433,9.45,8.409506640670141,7.209311520469382,0.7014663020634453
2020-07-10,1011010101,花叶类,179.833,179.833,1305.5266,24.869,154.964,383,0,16,7.259660907619847,12.83,8.18620290295925,4.470994033353167,0.6237241323659808
2020-07-10,1011010201,花菜类,62.344,62.344,659.9568,5.177,57.167,136,0,2,10.585730784036956,15.51,7.6168221408221415,6.545884768381881,0.6171581319561956
2020-07-10,1011010402,水生根茎类,9.025,9.025,128.7304,0.244,8.781,28,0,2,14.26375623268698,13.65,7.695936750478926,7.98426592797784,0.7864831108273889
2020-07-10,1011010501,茄类,37.86,37.86,268.3507,3.698,34.162,62,0,3,7.087974115161121,6.68,5.413747146903153,4.636425250924458,0.528758414415901
2020-07-10,1011010504,辣椒类,58.936,58.936,714.7903,2.27,56.666,243,0,8,12.128245893850957,9.24,6.21188948156412,6.610760825302023,0.8346217953357675
2020-07-10,1011010801,食用菌,41.429,41.429,470.81010000000003,4.399,37.03,135,0,6,11.364264162784524,9.45,8.406833029559031,6.769435902387216,0.6787608785507457
2020-07-11,1011010101,花叶类,271.897,271.12,2106.3287,32.209,238.911,572,0,15,7.76899048391856,12.83,8.188102902959251,4.794547801711419,0.6203802329690844
2020-07-11,1011010201,花菜类,76.564,76.564,784.2707,7.188,69.376,139,0,2,10.24333498772269,15.51,7.466822140822141,6.282039731466487,0.6305746900030309
2020-07-11,1011010402,水生根茎类,8.928,8.928,132.1233,1.522,7.406,23,0,2,14.798756720430106,13.65,7.694357803110504,8.411317204301074,0.7593863554287139
2020-07-11,1011010501,茄类,68.277,68.277,405.2064,7.954,60.323,116,0,2,5.93474229974955,6.68,5.413747146903153,3.7996306223179106,0.5619261158941666
2020-07-11,1011010504,辣椒类,85.936,85.936,1060.3598,8.483,77.453,306,0,9,12.338947588903368,9.24,6.279222814897455,7.074474609011357,0.7441503815967063
2020-07-11,1011010801,食用菌,52.238,52.238,700.3148,3.681,48.557,184,0,5,13.406233010452162,9.45,8.408777474003475,7.928451318963208,0.6909018509563449
2020-07-12,1011010101,花叶类,300.189,300.189,2195.9922,28.834,271.355,653,0,15,7.315365319848495,12.83,8.19160290295925,4.488165722261641,0.6299231740850679
2020-07-12,1011010201,花菜类,71.615,71.615,777.0745000000001,7.611,64.004,148,0,2,10.85072261397752,15.51,7.30682214082214,6.32656705997347,0.7151043387538238
2020-07-12,1011010402,水生根茎类,13.994,13.994,247.9604,1.369,12.625,36,0,3,17.719051021866512,13.65,7.619094645215769,11.493803773045592,0.5416176725950295
2020-07-12,1011010501,茄类,81.706,81.706,582.6195,8.576,73.13,135,0,3,7.130681957261401,6.68,5.103747146903153,4.2824853743911095,0.6650802825626116
2020-07-12,1011010504,辣椒类,72.75,72.459,855.2597,6.286,66.173,298,0,10,11.803360521122288,9.24,6.279889481564121,6.623485557349674,0.782046691114896
2020-07-12,1011010801,食用菌,55.96,55.96,678.7291,5.186,50.774,185,0,6,12.128825947105074,9.45,8.405684253664493,7.232089349535382,0.6770846377726623
2020-07-13,1011010101,花叶类,190.832,190.832,1422.2044,19.911,170.921,396,0,13,7.4526515469103725,12.83,8.18460290295925,4.682125639305777,0.5917239563898979
2020-07-13,1011010201,花菜类,32.028,32.028,315.3762,2.807,29.221,73,0,2,9.846890221056576,15.51,7.23682214082214,5.749602847508429,0.7126209378659418
2020-07-13,1011010402,水生根茎类,11.605,11.605,164.1054,1.263,10.342,31,0,2,14.140922016372253,13.65,7.618568329426294,8.038965962947007,0.7590473801668303
2020-07-13,1011010501,茄类,44.379,44.379,306.6984,1.117,43.262,79,0,3,6.9108902859460555,6.68,5.032747146903153,4.0283665697739925,0.7155564584912599
2020-07-13,1011010504,辣椒类,61.24,61.24,662.7452,3.297,57.943,220,0,10,10.822096668843892,9.24,6.2965561482307875,6.436648758981058,0.6813247194425232
2020-07-13,1011010801,食用菌,42.113,42.113,544.001,2.3129999999999997,39.8,145,0,5,12.917650131788283,9.45,8.399156475886715,7.48280388478617,0.7263114643498934
2020-07-14,1011010101,花叶类,190.599,190.599,1375.1632,7.468,183.131,413,0,13,7.214954957790964,12.83,8.17050290295925,4.34060021301266,0.6622021388105019
2020-07-14,1011010201,花菜类,57.575,57.575,558.9169,4.54,53.035000000000004,115,0,2,9.707631784628745,15.51,7.06482214082214,5.248857490230134,0.8494752053561885
2020-07-14,1011010402,水生根茎类,9.007,9.007,135.8165,0.325,8.682,22,0,2,15.078994115687799,13.65,7.5575156978473474,7.594595314755192,0.9854901401252429
2020-07-14,1011010501,茄类,34.747,34.747,225.4722,2.987,31.76,64,0,3,6.488968831841597,6.68,5.052747146903153,3.842482516476242,0.6887438795147263
2020-07-14,1011010504,辣椒类,66.745,66.745,710.1373,3.4720000000000004,63.273,225,0,10,10.63955801932729,9.24,6.303667259341898,6.189588283766573,0.7189443839474181
2020-07-14,1011010801,食用菌,44.836,44.836,537.0122,3.988,40.848,148,0,7,11.97725488446784,9.45,8.389695949570926,6.569703809438845,0.8231042421212111
2020-07-15,1011010101,花叶类,218.746,218.094,1481.9327,8.45,209.644,457,0,12,6.79492649958275,12.83,8.16420290295925,4.088843663741323,0.6618210570969447
2020-07-15,1011010201,花菜类,37.962,37.962,375.1279,3.068,34.894,77,0,2,9.881668510615878,15.51,7.038822140822141,5.2916848427374745,0.8673955090462133
2020-07-15,1011010402,水生根茎类,10.238,10.238,151.4427,0.623,9.615,24,0,2,14.792215276421176,13.65,7.5575156978473474,7.510435631959366,0.9695548968525143
2020-07-15,1011010501,茄类,38.17,38.17,274.55,0.414,37.756,70,0,3,7.192821587634268,6.68,5.079747146903153,4.082695834424942,0.7617823808927944
2020-07-15,1011010504,辣椒类,73.354,73.354,749.7708,4.27,69.084,242,0,10,10.22126673392044,9.24,6.324778370453011,6.117863647517517,0.6707248351420823
2020-07-15,1011010801,食用菌,42.196,42.196,494.03610000000003,4.417,37.779,139,0,7,11.708126362688407,9.45,8.397057060682037,6.440664043985213,0.8178446015395502
2020-07-16,1011010101,花叶类,218.526,215.526,1535.9922,19.977,195.549,466,0,13,7.126714178335791,12.83,8.162302902959249,4.280146850032015,0.6650630055561024
2020-07-16,1011010201,花菜类,39.45,39.45,417.228,4.15,35.3,83,0,2,10.576121673003803,15.51,7.024822140822141,5.735707984790874,0.843908668476157
2020-07-16,1011010402,水生根茎类,11.354,11.354,162.7251,1.171,10.183,30,0,2,14.331962304033821,13.65,7.558568329426295,7.30329575480007,0.962396537838986
2020-07-16,1011010501,茄类,26.586,26.586,192.9674,2.5549999999999997,24.031,54,0,3,7.258233656811856,6.68,5.124747146903153,4.1349868351764085,0.7553220714189293
2020-07-16,1011010504,辣椒类,72.656,72.656,764.0534,8.331,64.325,237,0,10,10.516039969169785,9.24,6.379445037119677,6.389405692578727,0.6458557298034981
2020-07-16,1011010801,食用菌,54.111,53.685,641.0918,3.595,50.09,170,0,7,11.941730464748067,9.45,8.38650951313449,6.810458787370774,0.7534399425326026
2020-07-17,1011010101,花叶类,207.67,201.67,1377.6054,28.238,173.432,436,0,14,6.83098824812813,12.83,8.17050290295925,4.109126295433132,0.662394328380723
2020-07-17,1011010201,花菜类,44.198,44.198,455.7297,4.343,39.855,92,0,2,10.311093262138558,15.51,7.100822140822141,5.78053441332187,0.78376124504605
2020-07-17,1011010402,水生根茎类,10.727,10.727,154.124,0.0,10.727,29,0,2,14.367856809918896,13.65,7.566989382057874,7.298178428265125,0.968690811158248
2020-07-17,1011010501,茄类,37.251,37.251,294.065,4.752,32.499,69,0,3,7.894150492604226,6.68,5.117747146903153,4.571652841534454,0.7267607069557345
2020-07-17,1011010504,辣椒类,61.025,61.025,690.4716,5.205,55.82,218,0,10,11.314569438754608,9.24,6.396111703786343,6.622583039737813,0.7084828337920774
2020-07-17,1011010801,食用菌,51.908,51.908,656.7742000000001,5.922,45.986,169,0,7,12.652658549741853,9.45,8.392065068690044,7.217681474917161,0.7530087180644209
2020-07-18,1011010101,花叶类,276.265,275.265,2023.5223,43.975,231.29,604,0,13,7.351179045646923,12.83,8.163002902959251,4.503703812689591,0.6322518867547005
2020-07-18,1011010201,花菜类,61.088,61.088,634.3341,9.717,51.371,128,0,2,10.383939562598218,15.51,7.104822140822141,5.8223133839706644,0.7834731450880175
2020-07-18,1011010402,水生根茎类,10.418,10.418,151.2599,3.176,7.242,24,0,2,14.519091956229602,13.65,7.568568329426295,7.548891341908235,0.9233409647355468
2020-07-18,1011010501,茄类,56.585,56.585,393.6409,8.432,48.153,95,0,3,6.956629848899885,6.68,5.066747146903152,3.898665193955995,0.7843619553904186
2020-07-18,1011010504,辣椒类,85.051,85.051,987.4653,13.839,71.212,318,0,10,11.61027265993345,9.24,6.451000592675233,6.6111048664918695,0.7561773552828772
2020-07-18,1011010801,食用菌,72.07600000000001,71.884,884.559,15.003,56.881,228,0,7,12.30536698013466,9.45,8.395676179801155,7.206324773245785,0.7075787405279859
2020-07-19,1011010101,花叶类,322.537,321.164,2307.3773,51.965,269.199,680,0,12,7.184420732087034,12.83,8.16270290295925,4.4439764108056945,0.616664911770874
2020-07-19,1011010201,花菜类,76.351,76.351,809.2379,8.423,67.928,165,0,2,10.59891684457309,15.51,7.140822140822141,5.966778169244673,0.7763215832632158
2020-07-19,1011010402,水生根茎类,11.124,11.124,159.4384,2.92,8.204,25,0,2,14.332829917295935,13.65,7.567515697847347,7.43235436893204,0.9284373706948839
2020-07-19,1011010501,茄类,71.772,71.772,556.3028,11.955,59.817,125,0,3,7.750972524104108,6.68,5.071747146903153,4.300859388062197,0.8021915679499583
2020-07-19,1011010504,辣椒类,104.841,103.776,1116.3662,10.843,92.933,347,0,10,10.757460299105766,9.24,6.391445037119677,6.5608185900400855,0.6396521488090772
2020-07-19,1011010801,食用菌,80.82300000000001,80.322,1123.2615,9.954,70.368,287,0,7,13.984481213117204,9.45,8.397203957578933,8.17521911804985,0.7105940539552316
2020-07-20,1011010101,花叶类,204.997,204.997,1412.958,22.66,182.337,432,0,12,6.892578915789011,12.83,8.15320290295925,4.153171948857788,0.6595939201806029
2020-07-20,1011010201,花菜类,47.431,47.431,411.3892,4.921,42.51,99,0,2,8.673424553562016,15.51,7.160822140822141,4.967849296873354,0.7459113663171835
2020-07-20,1011010402,水生根茎类,9.548,9.548,134.2522,0.5449999999999999,9.003,23,0,2,14.060766652702135,13.65,7.568042013636822,7.34954335986594,0.9131483364646225
2020-07-20,1011010501,茄类,33.947,33.947,280.5997,3.8689999999999998,30.078,63,0,3,8.265817303443603,6.68,5.069747146903152,4.396937284590686,0.8799033892094903
2020-07-20,1011010504,辣椒类,67.35,67.35,677.3549,8.162,59.188,246,0,9,10.057236822568672,9.24,6.391445037119677,6.605645731254641,0.5225213751598596
2020-07-20,1011010801,食用菌,52.617,52.617,627.6752,3.75,48.867,181,0,7,11.92913316988806,9.45,8.3988706242456,6.8095014919132595,0.751836486717083
2020-07-21,1011010101,花叶类,214.99,214.99,1592.4823,14.48,200.51,428,0,13,7.407238941346108,12.83,8.15550290295925,4.462177915251872,0.6600052893516235
2020-07-21,1011010201,花菜类,49.005,49.005,461.43580000000003,4.108,44.897,114,0,2,9.416096316702378,15.51,7.140822140822141,5.350965207631874,0.7597005309009606
2020-07-21,1011010402,水生根茎类,12.744,12.744,213.18280000000001,1.299,11.445,29,0,3,16.72809165097301,13.65,7.358568329426294,10.006125235404896,0.671785157333793
2020-07-21,1011010501,茄类,27.094,27.094,206.34199999999998,1.504,25.59,51,0,3,7.615782091976082,6.68,5.102747146903153,4.246234590684284,0.79353776371286
2020-07-21,1011010504,辣椒类,56.993,56.993,571.6611,3.207,53.786,203,0,10,10.03037390556735,9.24,6.366556148230789,6.077609530995034,0.6503814294771193
2020-07-21,1011010801,食用菌,45.905,45.905,570.2716,3.878,42.027,158,0,7,12.422864611698072,9.45,8.399565068690045,7.0825764077987134,0.7540036134335382
2020-07-22,1011010101,花叶类,233.156,232.78300000000002,1648.3367,27.328,205.455,500,0,13,7.081001189949438,12.83,8.15060290295925,4.206683692537685,0.6832739771974201
2020-07-22,1011010201,花菜类,53.675,53.675,531.4384,4.836,48.839,116,0,2,9.9010414531905,15.51,7.136822140822142,5.592273684210527,0.77048585464362
2020-07-22,1011010402,水生根茎类,11.25,11.05,180.9364,1.051,9.999,30,0,3,16.374334841628958,13.65,7.3590946452157695,8.66569411764706,0.8895583688193895
2020-07-22,1011010501,茄类,48.247,48.247,372.4259,1.749,46.498,90,0,3,7.719151449831078,6.68,5.0837471469031525,4.124189068750389,0.8716773943077123
2020-07-22,1011010504,辣椒类,81.411,81.36,801.0997,7.174,74.186,289,0,9,9.846358161258603,9.24,6.342556148230788,5.9572626597836775,0.652832638676393
2020-07-22,1011010801,食用菌,66.91,66.794,745.5677000000001,3.964,62.83,206,0,7,11.162195706201157,9.45,8.398453957578933,6.642299308321108,0.6804716541782108
2020-07-23,1011010101,花叶类,200.898,200.441,1426.5588,28.065,172.376,434,0,13,7.117100792751982,12.83,8.15840290295925,4.1540515662963164,0.7132913925518434
2020-07-23,1011010201,花菜类,39.425,39.425,420.2273,3.081,36.344,88,0,2,10.658904248573242,15.51,7.518822140822141,6.355172606214332,0.6772013773710184
2020-07-23,1011010402,水生根茎类,30.417,30.417,207.4809,4.444,25.973,39,0,3,6.821215109971397,13.65,7.411090673021131,3.5717480356379654,0.909769401959797
2020-07-23,1011010501,茄类,44.142,44.142,338.846,3.428,40.714,72,0,3,7.676272031172126,6.68,5.128747146903153,4.355991572651896,0.7622329848767058
2020-07-23,1011010504,辣椒类,57.639,57.639,640.9893,3.778,53.861,212,0,10,11.120756779264038,9.24,6.370556148230788,6.502984784607644,0.7101003843014537
2020-07-23,1011010801,食用菌,56.759,56.759,623.9236,4.032,52.727,169,0,7,10.992505153367746,9.45,8.400815068690044,6.482759209993128,0.6956522365388609
2020-07-24,1011010101,花叶类,176.325,176.325,1340.1699,16.396,159.929,371,0,11,7.600566567418121,12.83,8.16650290295925,4.545642932085638,0.6720553463997707
2020-07-24,1011010201,花菜类,38.873,38.284,409.2171,3.8600000000000003,34.424,80,0,2,10.688984954550204,15.51,7.578822140822142,6.6024838052450106,0.6189339148486632
2020-07-24,1011010402,水生根茎类,11.74,11.74,197.4297,0.757,10.983,29,0,3,16.8168398637138,13.65,7.536880146705342,9.249458262350938,0.8181432238215709
2020-07-24,1011010501,茄类,34.97,34.97,289.3317,2.554,32.416,56,0,3,8.273711752931085,6.68,5.161747146903153,4.823580211609951,0.7152636402763572
2020-07-24,1011010504,辣椒类,59.896,58.738,600.5783,5.346,53.392,198,0,9,10.224697810616638,9.24,6.419445037119677,6.642362014368891,0.5393165546379985
2020-07-24,1011010801,食用菌,49.201,49.201,573.4826,4.937,44.264,147,0,7,11.655913497693136,9.45,8.396509513134488,6.808140484949492,0.7120553730435557
2020-07-25,1011010101,花叶类,227.137,227.137,1805.9512,22.624,204.513,514,0,13,7.950933577532502,12.83,8.17530290295925,4.737772049467943,0.6782009549035606
2020-07-25,1011010201,花菜类,57.421,57.421,620.8881,7.785,49.636,120,0,2,10.812909911008168,15.51,7.682822140822141,6.929751832953101,0.5603603378102888
2020-07-25,1011010402,水生根茎类,10.424,10.424,150.716,2.908,7.516,23,0,2,14.458557175748275,13.65,7.538985409863237,7.803664620107445,0.8527906925284037
2020-07-25,1011010501,茄类,61.874,61.874,435.2305,12.455,49.419,108,0,3,7.034141965930762,6.68,5.217747146903153,4.6914940039434985,0.4993394343077322
2020-07-25,1011010504,辣椒类,94.206,94.206,951.9405,12.509,81.697,313,0,10,10.10488185465894,9.24,6.4423339260085655,6.967990361548096,0.45018596903080565
2020-07-25,1011010801,食用菌,67.013,67.013,809.1515,8.316,58.697,208,0,7,12.074545237491233,9.45,8.3951206242456,7.111905749630668,0.6977932023520252
2020-07-26,1011010101,花叶类,250.825,250.825,2045.4513,35.095,215.73,548,0,13,8.154894049636201,12.83,8.17640290295925,4.783940795375263,0.704639417260287
2020-07-26,1011010201,花菜类,64.119,64.119,711.6964,9.189,54.93,139,0,2,11.09961789797096,15.51,7.728822140822141,7.285019105101453,0.5236223457805722
2020-07-26,1011010402,水生根茎类,12.988,12.988,234.4727,1.957,11.031,36,0,3,18.053025870033878,13.65,7.547406462494815,10.575737603942102,0.707022861772272
2020-07-26,1011010501,茄类,69.521,69.521,515.1741,7.6370000000000005,61.884,112,0,3,7.41033788351721,6.68,5.243747146903153,4.626420937558435,0.6017431149332404
2020-07-26,1011010504,辣椒类,102.06099999999999,102.06099999999999,1058.5517,13.593,88.468,348,0,9,10.371755126835913,9.24,6.505222814897455,6.848482280204976,0.5144603873495726
2020-07-26,1011010801,食用菌,71.295,71.295,882.8239,9.619,61.676,209,0,7,12.382690230731468,9.45,8.393453957578934,7.358265797040466,0.6828272547196994
2020-07-27,1011010101,花叶类,198.00900000000001,198.00900000000001,1568.9211,18.404,179.605,408,0,12,7.923483781040256,12.83,8.18230290295925,4.603104454848012,0.7213347771622267
2020-07-27,1011010201,花菜类,42.876,42.876,463.1993,5.213,37.663,88,0,2,10.803230245358709,15.51,7.730822140822141,7.073823117828154,0.5272123808314249
2020-07-27,1011010402,水生根茎类,17.265,17.265,246.9673,0.829,16.436,39,0,3,14.304506226469735,13.65,7.50530119933692,9.106492325514045,0.5708030836848337
2020-07-27,1011010501,茄类,36.121,36.121,265.8719,5.545,30.576,59,0,3,7.3605907920600195,6.68,5.303747146903153,4.809065086791616,0.5305658499562256
2020-07-27,1011010504,辣椒类,71.402,71.402,776.7884,3.0989999999999998,68.303,255,0,10,10.879084619478446,9.24,6.529667259341899,6.873508585193692,0.5827556603207296
2020-07-27,1011010801,食用菌,52.777,52.777,654.2723,11.798,40.979,172,0,8,12.396921007256948,9.45,8.399426179801155,7.220750895276351,0.7168465145871088
2020-07-28,1011010101,花叶类,165.443,165.443,1326.3971,22.838,142.605,360,0,13,8.017245214363859,12.83,8.18200290295925,4.624895885592016,0.7334974478755429
2020-07-28,1011010201,花菜类,34.937,34.937,379.2339,2.202,32.735,71,0,2,10.85479291295761,15.51,7.6988221408221404,6.925682800469416,0.5673245838261438
2020-07-28,1011010402,水生根茎类,13.959,13.959,166.78640000000001,0.451,13.508,34,0,2,11.948305752561073,13.65,7.479511725652711,7.253192205745397,0.6473168521711838
2020-07-28,1011010501,茄类,40.34,40.34,313.6707,6.663,33.677,60,0,3,7.775674268715914,6.68,5.289747146903153,4.978804412493802,0.5617553180445596
2020-07-28,1011010504,辣椒类,66.001,66.001,667.8376,8.601,57.4,225,0,10,10.118598203057529,9.24,6.58877837045301,6.862747382615415,0.474423818759492
2020-07-28,1011010801,食用菌,47.728,47.728,550.9985,5.336,42.392,138,0,8,11.544554559168622,9.45,8.401926179801157,6.6819648843446195,0.7277185317475572
