情景,分类编码,分类名称,价格弹性,最优加价率,最优售价,7天补货量,7天利润
价格口径=当期加权,1011010402,水生根茎类,-0.35639560923866576,0.5146835519467132,16.910193604662492,165.92890841357985,427.3585038528937
价格口径=当期加权,1011010501,茄类,-0.36027111336948536,0.9715005613214258,8.112667064511001,155.53136067135114,394.37104438495453
价格口径=当期加权,1011010504,辣椒类,-0.534709611571804,1.533010927559638,8.034320845318504,629.4371171001956,1919.2348649013343
价格口径=当期加权,1011010801,食用菌,-0.6529730744035707,1.49047693063884,6.221503615823591,426.48400723210045,941.6739585731207
价格口径=中位价,1011010101,花叶类,-0.08664302914872117,1.3617833549871383,8.46923908508143,1253.6899207621905,3701.3700048132105
价格口径=中位价,1011010201,花菜类,-0.7459536280521203,0.7095397638439644,14.0,135.56721361830165,366.1986947745513
价格口径=中位价,1011010402,水生根茎类,0.2015337015622922,0.4331554917541178,16.0,189.90563096239643,381.5738890382217
价格口径=中位价,1011010501,茄类,-0.14711294882020964,1.1511930001475887,8.852096187082271,228.85350308592527,688.4118879198057
价格口径=中位价,1011010504,辣椒类,-0.43481696609773207,2.8538845187857973,12.22392860127209,618.3559778235003,3416.047540252619
价格口径=中位价,1011010801,食用菌,0.10586069674146871,1.1095619844596287,5.269933382098395,374.9160158546108,612.3248292510875
