单品编码,单品名称,分类名称,有效销售天数,售出概率,分布,参数,AIC,是否最优
102900005122654,枝江红菜苔,花叶类,384,0.3504,lognorm,"s=1.0373, loc=0.0000, scale=7.9990",2718.753,是
102900005123880,灯笼椒(1),辣椒类,217,0.198,lognorm,"s=0.7826, loc=0.0000, scale=0.7209",371.444,是
102900005125808,小米椒,辣椒类,585,0.5338,gamma,"a=1.8155, loc=0.0000, scale=1.3632",2129.987,是
102900005125815,杏鲍菇(1),食用菌,452,0.4124,gamma,"a=2.2644, loc=0.0000, scale=2.3504",2280.376,是
102900011000328,螺丝椒,辣椒类,858,0.7828,gamma,"a=1.8966, loc=0.0000, scale=4.7918",5333.994,是
102900011000571,随州泡泡青,花叶类,142,0.1296,lognorm,"s=0.8812, loc=0.0000, scale=3.3452",713.996,是
102900011001219,红灯笼椒(1),辣椒类,272,0.2482,lognorm,"s=0.7901, loc=0.0000, scale=0.7569",496.163,是
102900011001561,莲蓬(个),水生根茎类,86,0.0785,gamma,"a=1.6931, loc=0.0000, scale=14.3881",712.904,是
102900011001691,菱角,水生根茎类,105,0.0958,lognorm,"s=0.7817, loc=0.0000, scale=0.9034",228.904,是
102900011001806,姬菇(包),食用菌,359,0.3276,lognorm,"s=0.6659, loc=0.0000, scale=2.3990",1359.161,是
102900011001813,金针菇(袋)(1),食用菌,123,0.1122,lognorm,"s=1.1076, loc=0.0000, scale=8.9433",917.154,是
102900011002414,田七,花叶类,96,0.0876,gamma,"a=2.8255, loc=0.0000, scale=0.1668",7.597,是
102900011006689,东门口小白菜,花叶类,435,0.3969,gamma,"a=1.9501, loc=0.0000, scale=1.8205",1881.704,是
102900011006948,外地茼蒿,花叶类,269,0.2454,gamma,"a=1.9400, loc=0.0000, scale=1.4038",1023.339,是
102900011007044,银耳(朵),食用菌,141,0.1286,lognorm,"s=0.5790, loc=0.0000, scale=1.7079",400.993,是
102900011007464,紫苏,花叶类,84,0.0766,lognorm,"s=0.8276, loc=0.0000, scale=0.2599",-15.775,是
102900011007969,红莲藕带,水生根茎类,96,0.0876,lognorm,"s=0.7918, loc=0.0000, scale=0.7811",184.185,是
102900011008164,奶白菜,花叶类,762,0.6953,gamma,"a=2.3499, loc=0.0000, scale=3.2512",4374.307,是
102900011008522,甜白菜,花叶类,340,0.3102,gamma,"a=1.5216, loc=0.0000, scale=9.0729",2436.785,是
102900011009246,鲜木耳(1),食用菌,252,0.2299,lognorm,"s=0.6645, loc=0.0000, scale=0.6791",318.081,是
102900011009277,荸荠,水生根茎类,213,0.1943,gamma,"a=1.2684, loc=0.0000, scale=6.1911",1300.927,是
102900011009444,大龙茄子,茄类,197,0.1797,gamma,"a=1.5170, loc=0.0000, scale=3.9057",1080.562,是
102900011009970,青梗散花,花菜类,444,0.4051,gamma,"a=2.0595, loc=0.0000, scale=9.1807",3391.744,是
102900011010891,野藕(1),水生根茎类,164,0.1496,gamma,"a=1.8904, loc=0.0000, scale=1.4536",630.748,是
102900011011546,海鲜菇(袋)(1),食用菌,172,0.1569,lognorm,"s=0.8729, loc=0.0000, scale=5.0507",1002.481,是
102900011012994,杏鲍菇(袋),食用菌,327,0.2984,lognorm,"s=0.7865, loc=0.0000, scale=2.7265",1430.887,是
102900011013274,白玉菇(袋),食用菌,698,0.6369,lognorm,"s=0.7558, loc=0.0000, scale=3.1337",3188.521,是
102900011016701,芜湖青椒(1),辣椒类,858,0.7828,gamma,"a=2.8767, loc=0.0000, scale=11.4251",7308.652,是
102900011016909,花茄子,茄类,81,0.0739,lognorm,"s=0.8326, loc=0.0000, scale=0.8677",181.207,是
102900011018095,虫草花(袋),食用菌,141,0.1286,gamma,"a=2.6894, loc=0.0000, scale=2.5791",772.499,是
102900011021842,洪湖莲藕(粉藕),水生根茎类,393,0.3586,lognorm,"s=0.9416, loc=0.0000, scale=10.2500",2901.247,是
102900011022030,组合椒系列,辣椒类,176,0.1606,lognorm,"s=0.7665, loc=0.0000, scale=2.7143",761.354,是
102900011022764,长线茄,茄类,454,0.4142,gamma,"a=1.7691, loc=0.0000, scale=3.1109",2385.7,是
102900011022849,本地黄心油菜,花叶类,115,0.1049,gamma,"a=2.4349, loc=0.0000, scale=4.9164",764.153,是
102900011023464,小青菜(1),花叶类,492,0.4489,gamma,"a=3.0132, loc=0.0000, scale=2.2073",2603.842,是
102900011027479,小皱皮,辣椒类,81,0.0739,gamma,"a=1.1741, loc=0.0000, scale=1.7207",278.668,是
102900011029176,辣妹子,辣椒类,73,0.0666,gamma,"a=1.8975, loc=0.0000, scale=0.8725",208.848,是
102900011030059,云南生菜(份),花叶类,400,0.365,gamma,"a=1.7675, loc=0.0000, scale=20.2897",3602.029,是
102900011030097,云南油麦菜(份),花叶类,410,0.3741,gamma,"a=2.0084, loc=0.0000, scale=10.7644",3248.283,是
102900011030103,茼蒿(份),花叶类,83,0.0757,gamma,"a=5.8772, loc=0.0000, scale=1.2033",407.447,是
102900011030110,菠菜(份),花叶类,386,0.3522,gamma,"a=2.2743, loc=0.0000, scale=7.2380",2818.592,是
102900011030134,菜心(份),花叶类,275,0.2509,lognorm,"s=0.7531, loc=0.0000, scale=5.7375",1589.342,是
102900011030141,上海青(份),花叶类,287,0.2619,lognorm,"s=0.8042, loc=0.0000, scale=7.8115",1873.273,是
102900011030905,鱼腥草(份),花叶类,130,0.1186,lognorm,"s=0.7657, loc=0.0000, scale=2.6699",558.862,是
102900011030912,海鲜菇(份),食用菌,162,0.1478,gamma,"a=2.1128, loc=0.0000, scale=3.8127",961.146,是
102900011030929,鲜木耳(份),食用菌,182,0.1661,lognorm,"s=0.6129, loc=0.0000, scale=3.3961",787.327,是
102900011031100,小米椒(份),辣椒类,488,0.4453,gamma,"a=2.5477, loc=0.0000, scale=8.7357",3819.999,是
102900011031582,青尖椒(份),辣椒类,193,0.1761,gamma,"a=2.4003, loc=0.0000, scale=2.0119",931.147,是
102900011031926,虫草花(份),食用菌,245,0.2235,lognorm,"s=0.6540, loc=0.0000, scale=3.7024",1132.573,是
102900011031995,姬菇(份),食用菌,100,0.0912,gamma,"a=2.1029, loc=0.0000, scale=3.2527",562.4,是
102900011032022,小皱皮(份),辣椒类,441,0.4024,gamma,"a=1.8400, loc=0.0000, scale=6.3850",2977.255,是
102900011032206,青杭椒(份),辣椒类,110,0.1004,lognorm,"s=0.7910, loc=0.0000, scale=3.0980",513.34,是
102900011032213,红杭椒(份),辣椒类,192,0.1752,lognorm,"s=0.7281, loc=0.0000, scale=2.8493",829.102,是
102900011032220,水果辣椒(份),辣椒类,85,0.0776,gamma,"a=2.2001, loc=0.0000, scale=1.5133",353.88,是
102900011032237,青线椒(份),辣椒类,280,0.2555,gamma,"a=1.7139, loc=0.0000, scale=4.8072",1703.316,是
102900011032244,红尖椒(份),辣椒类,246,0.2245,lognorm,"s=0.6709, loc=0.0000, scale=3.1158",1064.896,是
102900011032251,螺丝椒(份),辣椒类,382,0.3485,gamma,"a=1.3866, loc=0.0000, scale=15.5659",3092.139,是
102900011032343,七彩椒(2),辣椒类,258,0.2354,gamma,"a=1.9111, loc=0.0000, scale=0.7512",653.417,是
102900011032350,灯笼椒(2),辣椒类,101,0.0922,lognorm,"s=0.6586, loc=0.0000, scale=0.6108",106.66,是
102900011032367,红灯笼椒(2),辣椒类,182,0.1661,lognorm,"s=0.8043, loc=0.0000, scale=0.8397",377.614,是
102900011032619,西峡香菇(2),食用菌,69,0.063,gamma,"a=1.2088, loc=0.0000, scale=4.9798",388.239,是
102900011032732,高瓜(2),水生根茎类,159,0.1451,gamma,"a=1.3732, loc=0.0000, scale=2.0612",643.87,是
102900011032787,竹叶菜(份),花叶类,78,0.0712,lognorm,"s=1.1985, loc=0.0000, scale=7.4424",566.721,是
102900011032848,姜蒜小米椒组合装(小份),辣椒类,366,0.3339,lognorm,"s=0.7258, loc=0.0000, scale=3.9915",1821.298,是
102900011033906,保康高山大白菜,花叶类,200,0.1825,gamma,"a=1.9797, loc=0.0000, scale=16.4602",1752.366,是
102900011033920,黄心菜(2),花叶类,223,0.2035,gamma,"a=1.5158, loc=0.0000, scale=5.5729",1380.898,是
102900011033937,金针菇(2),食用菌,89,0.0812,gamma,"a=2.7974, loc=0.0000, scale=1.9011",439.308,是
102900011033944,杏鲍菇(2),食用菌,293,0.2673,gamma,"a=2.5668, loc=0.0000, scale=1.7358",1351.076,是
102900011034026,枝江青梗散花,花菜类,337,0.3075,gamma,"a=2.1611, loc=0.0000, scale=8.0046",2505.554,是
102900011034224,小青菜(份),花叶类,179,0.1633,gamma,"a=1.8092, loc=0.0000, scale=12.5401",1448.03,是
102900011034231,奶白菜(份),花叶类,244,0.2226,gamma,"a=2.4905, loc=0.0000, scale=11.4187",2035.392,是
102900011034330,双孢菇(盒),食用菌,293,0.2673,gamma,"a=4.0884, loc=0.0000, scale=3.5370",1937.599,是
102900011034439,青红杭椒组合装(份),辣椒类,228,0.208,gamma,"a=2.0939, loc=0.0000, scale=2.6371",1180.129,是
102900011035078,红椒(2),辣椒类,288,0.2628,gamma,"a=2.4248, loc=0.0000, scale=1.1027",1045.073,是
102900011035511,净藕(3),水生根茎类,70,0.0639,gamma,"a=2.3277, loc=0.0000, scale=2.1407",346.071,是
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,137,0.125,lognorm,"s=0.6809, loc=0.0000, scale=2.1359",495.398,是
102900011035764,龙牙菜,花叶类,63,0.0575,lognorm,"s=0.7826, loc=0.0000, scale=2.2092",251.774,是
102900011035771,黄白菜(1),花叶类,70,0.0639,lognorm,"s=1.0408, loc=0.0000, scale=1.3634",251.645,是
102900011035788,西峡香菇(份) ,食用菌,65,0.0593,lognorm,"s=0.8589, loc=0.0000, scale=4.0500",350.528,是
102900051000463,圆茄子(2),茄类,501,0.4571,lognorm,"s=0.8485, loc=0.0000, scale=1.4362",1623.907,是
102900051000944,洪湖藕带,水生根茎类,258,0.2354,gamma,"a=1.7282, loc=0.0000, scale=1.6721",1028.1,是
102900051004294,青线椒,辣椒类,747,0.6816,gamma,"a=2.2421, loc=0.0000, scale=1.3260",2900.842,是
102900051009336,虫草花,食用菌,82,0.0748,gamma,"a=2.2801, loc=0.0000, scale=0.2138",24.599,是
102900051010455,黄白菜(2),花叶类,904,0.8248,lognorm,"s=1.0477, loc=0.0000, scale=5.4616",5723.254,是
106930274220092,蟹味菇(袋),食用菌,100,0.0912,lognorm,"s=0.8006, loc=0.0000, scale=2.7341",444.485,是
106949711300068,金针菇(袋)(3),食用菌,258,0.2354,lognorm,"s=0.9144, loc=0.0000, scale=6.5721",1661.513,是
106949711300167,金针菇(袋)(2),食用菌,215,0.1962,gamma,"a=2.0293, loc=0.0000, scale=7.3045",1541.688,是
106949711300259,金针菇(盒),食用菌,429,0.3914,lognorm,"s=0.8097, loc=0.0000, scale=26.7209",3859.245,是
106958851400125,海鲜菇(袋)(4),食用菌,314,0.2865,lognorm,"s=0.7729, loc=0.0000, scale=5.1414",1761.557,是
106971533450003,海鲜菇(包),食用菌,119,0.1086,gamma,"a=2.6745, loc=0.0000, scale=4.0941",761.716,是
106971533455008,海鲜菇(袋)(3),食用菌,240,0.219,gamma,"a=2.0064, loc=0.0000, scale=3.6903",1388.888,是
