销售日期,分类编码,分类名称,净销量,售出量,销售额,打折销量,正常销量,售出记录数,退货记录数,在售单品数,均价,平均损耗率
2020-07-07,1011010501,茄类,32.112,32.112,186.848,0.0,32.112,56,0,2,5.818634778276034,6.68
2020-07-07,1011010504,辣椒类,42.213,42.213,531.0704,0.0,42.213,191,0,10,12.580731054414516,9.24
2020-07-07,1011010801,食用菌,52.56,52.56,622.3339,1.441,51.119,175,0,7,11.84044710806697,9.45
2020-07-08,1011010101,花叶类,164.57,158.57,1251.845,15.216,143.354,336,0,16,7.894589140442707,12.83
2020-07-08,1011010201,花菜类,45.433,45.433,532.102,0.0,45.433,95,0,2,11.711795391015341,15.51
2020-07-08,1011010402,水生根茎类,10.605,10.605,155.484,0.0,10.605,26,0,2,14.661386138613862,13.65
2020-07-08,1011010501,茄类,39.67,39.67,232.2832,0.576,39.094,64,0,2,5.855386942273758,6.68
2020-07-08,1011010504,辣椒类,65.88,65.88,768.061,2.6470000000000002,63.233,242,0,10,11.658485124468733,9.24
2020-07-08,1011010801,食用菌,43.968,43.968,565.4192,0.0,43.968,153,0,5,12.859788937409025,9.45
2020-07-09,1011010101,花叶类,187.439,187.439,1395.7574,0.288,187.151,391,0,15,7.446462048986604,12.83
2020-07-09,1011010201,花菜类,41.131,41.131,496.204,0.0,41.131,89,0,2,12.063990663976076,15.51
2020-07-09,1011010402,水生根茎类,2.106,2.106,21.060000000000002,0.0,2.106,7,0,1,10.000000000000002,13.65
2020-07-09,1011010501,茄类,25.921,25.921,205.51999999999998,0.0,25.921,48,0,3,7.928706454226303,6.68
2020-07-09,1011010504,辣椒类,58.86,58.86,615.355,0.0,58.86,219,0,10,10.454553177030242,9.24
2020-07-09,1011010801,食用菌,37.837,37.837,464.1238,0.0,37.837,133,0,5,12.266400613156433,9.45
2020-07-10,1011010101,花叶类,179.833,179.833,1305.5266,24.869,154.964,383,0,16,7.259660907619847,12.83
2020-07-10,1011010201,花菜类,62.344,62.344,659.9568,5.177,57.167,136,0,2,10.585730784036956,15.51
2020-07-10,1011010402,水生根茎类,9.025,9.025,128.7304,0.244,8.781,28,0,2,14.26375623268698,13.65
2020-07-10,1011010501,茄类,37.86,37.86,268.3507,3.698,34.162,62,0,3,7.087974115161121,6.68
2020-07-10,1011010504,辣椒类,58.936,58.936,714.7903,2.27,56.666,243,0,8,12.128245893850957,9.24
2020-07-10,1011010801,食用菌,41.429,41.429,470.81010000000003,4.399,37.03,135,0,6,11.364264162784524,9.45
2020-07-11,1011010101,花叶类,271.897,271.12,2106.3287,32.209,238.911,572,0,15,7.76899048391856,12.83
2020-07-11,1011010201,花菜类,76.564,76.564,784.2707,7.188,69.376,139,0,2,10.24333498772269,15.51
2020-07-11,1011010402,水生根茎类,8.928,8.928,132.1233,1.522,7.406,23,0,2,14.798756720430106,13.65
2020-07-11,1011010501,茄类,68.277,68.277,405.2064,7.954,60.323,116,0,2,5.93474229974955,6.68
2020-07-11,1011010504,辣椒类,85.936,85.936,1060.3598,8.483,77.453,306,0,9,12.338947588903368,9.24
2020-07-11,1011010801,食用菌,52.238,52.238,700.3148,3.681,48.557,184,0,5,13.406233010452162,9.45
2020-07-12,1011010101,花叶类,300.189,300.189,2195.9922,28.834,271.355,653,0,15,7.315365319848495,12.83
2020-07-12,1011010201,花菜类,71.615,71.615,777.0745000000001,7.611,64.004,148,0,2,10.85072261397752,15.51
2020-07-12,1011010402,水生根茎类,13.994,13.994,247.9604,1.369,12.625,36,0,3,17.719051021866512,13.65
2020-07-12,1011010501,茄类,81.706,81.706,582.6195,8.576,73.13,135,0,3,7.130681957261401,6.68
2020-07-12,1011010504,辣椒类,72.75,72.459,855.2597,6.286,66.173,298,0,10,11.803360521122288,9.24
2020-07-12,1011010801,食用菌,55.96,55.96,678.7291,5.186,50.774,185,0,6,12.128825947105074,9.45
2020-07-13,1011010101,花叶类,190.832,190.832,1422.2044,19.911,170.921,396,0,13,7.4526515469103725,12.83
2020-07-13,1011010201,花菜类,32.028,32.028,315.3762,2.807,29.221,73,0,2,9.846890221056576,15.51
2020-07-13,1011010402,水生根茎类,11.605,11.605,164.1054,1.263,10.342,31,0,2,14.140922016372253,13.65
2020-07-13,1011010501,茄类,44.379,44.379,306.6984,1.117,43.262,79,0,3,6.9108902859460555,6.68
2020-07-13,1011010504,辣椒类,61.24,61.24,662.7452,3.297,57.943,220,0,10,10.822096668843892,9.24
2020-07-13,1011010801,食用菌,42.113,42.113,544.001,2.3129999999999997,39.8,145,0,5,12.917650131788283,9.45
2020-07-14,1011010101,花叶类,190.599,190.599,1375.1632,7.468,183.131,413,0,13,7.214954957790964,12.83
2020-07-14,1011010201,花菜类,57.575,57.575,558.9169,4.54,53.035000000000004,115,0,2,9.707631784628745,15.51
2020-07-14,1011010402,水生根茎类,9.007,9.007,135.8165,0.325,8.682,22,0,2,15.078994115687799,13.65
2020-07-14,1011010501,茄类,34.747,34.747,225.4722,2.987,31.76,64,0,3,6.488968831841597,6.68
2020-07-14,1011010504,辣椒类,66.745,66.745,710.1373,3.4720000000000004,63.273,225,0,10,10.63955801932729,9.24
2020-07-14,1011010801,食用菌,44.836,44.836,537.0122,3.988,40.848,148,0,7,11.97725488446784,9.45
2020-07-15,1011010101,花叶类,218.746,218.094,1481.9327,8.45,209.644,457,0,12,6.79492649958275,12.83
2020-07-15,1011010201,花菜类,37.962,37.962,375.1279,3.068,34.894,77,0,2,9.881668510615878,15.51
2020-07-15,1011010402,水生根茎类,10.238,10.238,151.4427,0.623,9.615,24,0,2,14.792215276421176,13.65
2020-07-15,1011010501,茄类,38.17,38.17,274.55,0.414,37.756,70,0,3,7.192821587634268,6.68
2020-07-15,1011010504,辣椒类,73.354,73.354,749.7708,4.27,69.084,242,0,10,10.22126673392044,9.24
2020-07-15,1011010801,食用菌,42.196,42.196,494.03610000000003,4.417,37.779,139,0,7,11.708126362688407,9.45
2020-07-16,1011010101,花叶类,218.526,215.526,1535.9922,19.977,195.549,466,0,13,7.126714178335791,12.83
2020-07-16,1011010201,花菜类,39.45,39.45,417.228,4.15,35.3,83,0,2,10.576121673003803,15.51
2020-07-16,1011010402,水生根茎类,11.354,11.354,162.7251,1.171,10.183,30,0,2,14.331962304033821,13.65
2020-07-16,1011010501,茄类,26.586,26.586,192.9674,2.5549999999999997,24.031,54,0,3,7.258233656811856,6.68
2020-07-16,1011010504,辣椒类,72.656,72.656,764.0534,8.331,64.325,237,0,10,10.516039969169785,9.24
2020-07-16,1011010801,食用菌,54.111,53.685,641.0918,3.595,50.09,170,0,7,11.941730464748067,9.45
2020-07-17,1011010101,花叶类,207.67,201.67,1377.6054,28.238,173.432,436,0,14,6.83098824812813,12.83
2020-07-17,1011010201,花菜类,44.198,44.198,455.7297,4.343,39.855,92,0,2,10.311093262138558,15.51
2020-07-17,1011010402,水生根茎类,10.727,10.727,154.124,0.0,10.727,29,0,2,14.367856809918896,13.65
2020-07-17,1011010501,茄类,37.251,37.251,294.065,4.752,32.499,69,0,3,7.894150492604226,6.68
2020-07-17,1011010504,辣椒类,61.025,61.025,690.4716,5.205,55.82,218,0,10,11.314569438754608,9.24
2020-07-17,1011010801,食用菌,51.908,51.908,656.7742000000001,5.922,45.986,169,0,7,12.652658549741853,9.45
2020-07-18,1011010101,花叶类,276.265,275.265,2023.5223,43.975,231.29,604,0,13,7.351179045646923,12.83
2020-07-18,1011010201,花菜类,61.088,61.088,634.3341,9.717,51.371,128,0,2,10.383939562598218,15.51
2020-07-18,1011010402,水生根茎类,10.418,10.418,151.2599,3.176,7.242,24,0,2,14.519091956229602,13.65
2020-07-18,1011010501,茄类,56.585,56.585,393.6409,8.432,48.153,95,0,3,6.956629848899885,6.68
2020-07-18,1011010504,辣椒类,85.051,85.051,987.4653,13.839,71.212,318,0,10,11.61027265993345,9.24
2020-07-18,1011010801,食用菌,72.07600000000001,71.884,884.559,15.003,56.881,228,0,7,12.30536698013466,9.45
2020-07-19,1011010101,花叶类,322.537,321.164,2307.3773,51.965,269.199,680,0,12,7.184420732087034,12.83
2020-07-19,1011010201,花菜类,76.351,76.351,809.2379,8.423,67.928,165,0,2,10.59891684457309,15.51
2020-07-19,1011010402,水生根茎类,11.124,11.124,159.4384,2.92,8.204,25,0,2,14.332829917295935,13.65
2020-07-19,1011010501,茄类,71.772,71.772,556.3028,11.955,59.817,125,0,3,7.750972524104108,6.68
2020-07-19,1011010504,辣椒类,104.841,103.776,1116.3662,10.843,92.933,347,0,10,10.757460299105766,9.24
2020-07-19,1011010801,食用菌,80.82300000000001,80.322,1123.2615,9.954,70.368,287,0,7,13.984481213117204,9.45
2020-07-20,1011010101,花叶类,204.997,204.997,1412.958,22.66,182.337,432,0,12,6.892578915789011,12.83
2020-07-20,1011010201,花菜类,47.431,47.431,411.3892,4.921,42.51,99,0,2,8.673424553562016,15.51
2020-07-20,1011010402,水生根茎类,9.548,9.548,134.2522,0.5449999999999999,9.003,23,0,2,14.060766652702135,13.65
2020-07-20,1011010501,茄类,33.947,33.947,280.5997,3.8689999999999998,30.078,63,0,3,8.265817303443603,6.68
2020-07-20,1011010504,辣椒类,67.35,67.35,677.3549,8.162,59.188,246,0,9,10.057236822568672,9.24
2020-07-20,1011010801,食用菌,52.617,52.617,627.6752,3.75,48.867,181,0,7,11.92913316988806,9.45
2020-07-21,1011010101,花叶类,214.99,214.99,1592.4823,14.48,200.51,428,0,13,7.407238941346108,12.83
2020-07-21,1011010201,花菜类,49.005,49.005,461.43580000000003,4.108,44.897,114,0,2,9.416096316702378,15.51
2020-07-21,1011010402,水生根茎类,12.744,12.744,213.18280000000001,1.299,11.445,29,0,3,16.72809165097301,13.65
2020-07-21,1011010501,茄类,27.094,27.094,206.34199999999998,1.504,25.59,51,0,3,7.615782091976082,6.68
2020-07-21,1011010504,辣椒类,56.993,56.993,571.6611,3.207,53.786,203,0,10,10.03037390556735,9.24
2020-07-21,1011010801,食用菌,45.905,45.905,570.2716,3.878,42.027,158,0,7,12.422864611698072,9.45
2020-07-22,1011010101,花叶类,233.156,232.78300000000002,1648.3367,27.328,205.455,500,0,13,7.081001189949438,12.83
2020-07-22,1011010201,花菜类,53.675,53.675,531.4384,4.836,48.839,116,0,2,9.9010414531905,15.51
2020-07-22,1011010402,水生根茎类,11.25,11.05,180.9364,1.051,9.999,30,0,3,16.374334841628958,13.65
2020-07-22,1011010501,茄类,48.247,48.247,372.4259,1.749,46.498,90,0,3,7.719151449831078,6.68
2020-07-22,1011010504,辣椒类,81.411,81.36,801.0997,7.174,74.186,289,0,9,9.846358161258603,9.24
2020-07-22,1011010801,食用菌,66.91,66.794,745.5677000000001,3.964,62.83,206,0,7,11.162195706201157,9.45
2020-07-23,1011010101,花叶类,200.898,200.441,1426.5588,28.065,172.376,434,0,13,7.117100792751982,12.83
2020-07-23,1011010201,花菜类,39.425,39.425,420.2273,3.081,36.344,88,0,2,10.658904248573242,15.51
2020-07-23,1011010402,水生根茎类,30.417,30.417,207.4809,4.444,25.973,39,0,3,6.821215109971397,13.65
2020-07-23,1011010501,茄类,44.142,44.142,338.846,3.428,40.714,72,0,3,7.676272031172126,6.68
2020-07-23,1011010504,辣椒类,57.639,57.639,640.9893,3.778,53.861,212,0,10,11.120756779264038,9.24
2020-07-23,1011010801,食用菌,56.759,56.759,623.9236,4.032,52.727,169,0,7,10.992505153367746,9.45
2020-07-24,1011010101,花叶类,176.325,176.325,1340.1699,16.396,159.929,371,0,11,7.600566567418121,12.83
2020-07-24,1011010201,花菜类,38.873,38.284,409.2171,3.8600000000000003,34.424,80,0,2,10.688984954550204,15.51
2020-07-24,1011010402,水生根茎类,11.74,11.74,197.4297,0.757,10.983,29,0,3,16.8168398637138,13.65
2020-07-24,1011010501,茄类,34.97,34.97,289.3317,2.554,32.416,56,0,3,8.273711752931085,6.68
2020-07-24,1011010504,辣椒类,59.896,58.738,600.5783,5.346,53.392,198,0,9,10.224697810616638,9.24
2020-07-24,1011010801,食用菌,49.201,49.201,573.4826,4.937,44.264,147,0,7,11.655913497693136,9.45
2020-07-25,1011010101,花叶类,227.137,227.137,1805.9512,22.624,204.513,514,0,13,7.950933577532502,12.83
2020-07-25,1011010201,花菜类,57.421,57.421,620.8881,7.785,49.636,120,0,2,10.812909911008168,15.51
2020-07-25,1011010402,水生根茎类,10.424,10.424,150.716,2.908,7.516,23,0,2,14.458557175748275,13.65
2020-07-25,1011010501,茄类,61.874,61.874,435.2305,12.455,49.419,108,0,3,7.034141965930762,6.68
2020-07-25,1011010504,辣椒类,94.206,94.206,951.9405,12.509,81.697,313,0,10,10.10488185465894,9.24
2020-07-25,1011010801,食用菌,67.013,67.013,809.1515,8.316,58.697,208,0,7,12.074545237491233,9.45
2020-07-26,1011010101,花叶类,250.825,250.825,2045.4513,35.095,215.73,548,0,13,8.154894049636201,12.83
2020-07-26,1011010201,花菜类,64.119,64.119,711.6964,9.189,54.93,139,0,2,11.09961789797096,15.51
2020-07-26,1011010402,水生根茎类,12.988,12.988,234.4727,1.957,11.031,36,0,3,18.053025870033878,13.65
2020-07-26,1011010501,茄类,69.521,69.521,515.1741,7.6370000000000005,61.884,112,0,3,7.41033788351721,6.68
2020-07-26,1011010504,辣椒类,102.06099999999999,102.06099999999999,1058.5517,13.593,88.468,348,0,9,10.371755126835913,9.24
2020-07-26,1011010801,食用菌,71.295,71.295,882.8239,9.619,61.676,209,0,7,12.382690230731468,9.45
2020-07-27,1011010101,花叶类,198.00900000000001,198.00900000000001,1568.9211,18.404,179.605,408,0,12,7.923483781040256,12.83
2020-07-27,1011010201,花菜类,42.876,42.876,463.1993,5.213,37.663,88,0,2,10.803230245358709,15.51
2020-07-27,1011010402,水生根茎类,17.265,17.265,246.9673,0.829,16.436,39,0,3,14.304506226469735,13.65
2020-07-27,1011010501,茄类,36.121,36.121,265.8719,5.545,30.576,59,0,3,7.3605907920600195,6.68
2020-07-27,1011010504,辣椒类,71.402,71.402,776.7884,3.0989999999999998,68.303,255,0,10,10.879084619478446,9.24
2020-07-27,1011010801,食用菌,52.777,52.777,654.2723,11.798,40.979,172,0,8,12.396921007256948,9.45
2020-07-28,1011010101,花叶类,165.443,165.443,1326.3971,22.838,142.605,360,0,13,8.017245214363859,12.83
2020-07-28,1011010201,花菜类,34.937,34.937,379.2339,2.202,32.735,71,0,2,10.85479291295761,15.51
2020-07-28,1011010402,水生根茎类,13.959,13.959,166.78640000000001,0.451,13.508,34,0,2,11.948305752561073,13.65
2020-07-28,1011010501,茄类,40.34,40.34,313.6707,6.663,33.677,60,0,3,7.775674268715914,6.68
2020-07-28,1011010504,辣椒类,66.001,66.001,667.8376,8.601,57.4,225,0,10,10.118598203057529,9.24
2020-07-28,1011010801,食用菌,47.728,47.728,550.9985,5.336,42.392,138,0,8,11.544554559168622,9.45
2020-07-29,1011010101,花叶类,193.729,193.729,1516.066,18.623,175.106,413,0,12,7.825704979636503,12.83
2020-07-29,1011010201,花菜类,42.22,42.22,486.9335,4.189,38.031,94,0,2,11.533242539081003,15.51
2020-07-29,1011010402,水生根茎类,18.597,18.597,226.9722,0.543,18.054000000000002,34,0,2,12.204774963703821,13.65
2020-07-29,1011010501,茄类,40.777,40.777,324.2181,5.242,35.535,69,0,3,7.951004242587733,6.68
2020-07-29,1011010504,辣椒类,82.494,82.494,815.1328,7.979,74.515,282,0,10,9.881116202390476,9.24
2020-07-29,1011010801,食用菌,54.315,54.315,660.9125,4.373,49.942,174,0,7,12.168139556292001,9.45
2020-07-30,1011010101,花叶类,201.743,201.743,1575.9332,25.931,175.812,413,0,11,7.811588010488592,12.83
2020-07-30,1011010201,花菜类,38.198,38.198,392.4168,5.804,32.394,82,0,2,10.273228964867272,15.51
2020-07-30,1011010402,水生根茎类,10.645,10.645,126.7949,2.3289999999999997,8.316,26,0,2,11.911216533583843,13.65
2020-07-30,1011010501,茄类,46.311,46.311,355.9828,5.802,40.509,81,0,3,7.686787156399127,6.68
2020-07-30,1011010504,辣椒类,68.795,68.219,647.6431,5.854,62.365,236,0,10,9.493588296515634,9.24
2020-07-30,1011010801,食用菌,50.774,50.774,578.2916,3.063,47.711,155,0,7,11.389522196399732,9.45
2020-07-31,1011010101,花叶类,197.166,197.166,1534.2384,2.0,195.166,437,0,13,7.781455220474118,12.83
2020-07-31,1011010201,花菜类,37.549,37.549,393.0233,0.627,36.922,74,0,2,10.466944525819596,15.51
2020-07-31,1011010402,水生根茎类,19.062,19.062,213.33,0.0,19.062,37,0,2,11.191375511488825,13.65
2020-07-31,1011010501,茄类,34.092,34.092,265.107,0.0,34.092,53,0,3,7.776223160858853,6.68
2020-07-31,1011010504,辣椒类,41.104,41.104,440.091,0.0,41.104,152,0,10,10.706768197742313,9.24
2020-07-31,1011010801,食用菌,45.587,45.587,522.947,0.0,45.587,127,0,7,11.471406321977756,9.45
2020-08-01,1011010101,花叶类,229.89000000000001,229.89000000000001,1835.8272,27.403,202.487,527,0,14,7.985676627952499,12.83
2020-08-01,1011010201,花菜类,54.362,54.362,607.9993,3.759,50.603,121,0,2,11.184270262315588,15.51
2020-08-01,1011010402,水生根茎类,21.432,21.432,237.8084,2.332,19.1,44,0,2,11.09594998133632,13.65
2020-08-01,1011010501,茄类,48.805,48.805,353.9742,3.151,45.654,90,0,3,7.252826554656285,6.68
2020-08-01,1011010504,辣椒类,66.156,66.156,693.1243000000001,3.624,62.532,265,0,11,10.477119233327286,9.24
2020-08-01,1011010801,食用菌,53.797,53.797,669.5794,1.582,52.214999999999996,175,0,7,12.446407792256073,9.45
2020-08-02,1011010101,花叶类,243.138,243.138,2089.567,9.036,234.102,547,0,17,8.594160517895187,12.83
2020-08-02,1011010201,花菜类,49.219,49.219,556.502,0.0,49.219,99,0,2,11.306649870984781,15.51
2020-08-02,1011010402,水生根茎类,56.154,56.154,627.7452,5.88,50.274,107,0,3,11.178993482209636,13.65
2020-08-02,1011010501,茄类,50.893,50.893,352.942,0.0,50.893,93,0,3,6.934981235140393,6.68
2020-08-02,1011010504,辣椒类,67.963,67.963,661.0504,0.0,67.963,252,0,11,9.726621838353221,9.24
2020-08-02,1011010801,食用菌,54.961,54.961,617.6406000000001,0.0,54.961,163,0,8,11.237797711104239,9.45
2020-08-03,1011010101,花叶类,207.843,207.843,1680.6198,1.338,206.505,470,0,16,8.08600626434376,12.83
2020-08-03,1011010201,花菜类,44.426,44.426,492.028,0.0,44.426,89,0,2,11.075226218880836,15.51
2020-08-03,1011010402,水生根茎类,15.555,15.555,195.6176,0.0,15.555,41,0,3,12.575866280938605,13.65
2020-08-03,1011010501,茄类,45.191,45.191,302.953,0.0,45.191,82,0,3,6.703834834369674,6.68
2020-08-03,1011010504,辣椒类,86.474,86.474,854.4544,0.0,86.474,295,0,11,9.881055577398985,9.24
2020-08-03,1011010801,食用菌,48.575,48.575,600.7602,1.905,46.67,151,0,8,12.367682964487905,9.45
2020-08-04,1011010101,花叶类,180.012,180.012,1328.5652,2.0,178.012,387,0,17,7.380425749394485,12.83
2020-08-04,1011010201,花菜类,44.534,44.534,484.39,0.0,44.534,99,0,2,10.876858130866305,15.51
2020-08-04,1011010402,水生根茎类,26.208,26.208,319.5464,0.0,26.208,51,0,3,12.192704517704518,13.65
2020-08-04,1011010501,茄类,30.591,30.591,228.636,0.0,30.591,56,0,3,7.4739629302736095,6.68
2020-08-04,1011010504,辣椒类,73.365,73.365,706.3548,0.0,73.365,225,0,8,9.627953383766101,9.24
2020-08-04,1011010801,食用菌,45.301,45.301,570.8358000000001,0.0,45.301,140,0,7,12.600953621332863,9.45
2020-08-05,1011010101,花叶类,244.395,244.395,1891.6622,3.589,240.806,544,0,18,7.74018371897952,12.83
2020-08-05,1011010201,花菜类,43.631,43.631,446.41,0.0,43.631,101,0,2,10.231486786917559,15.51
2020-08-05,1011010402,水生根茎类,21.451999999999998,21.451999999999998,258.012,0.0,21.451999999999998,38,0,3,12.027410031698677,13.65
2020-08-05,1011010501,茄类,49.472,49.472,368.65,0.0,49.472,85,0,3,7.451689844760672,6.68
2020-08-05,1011010504,辣椒类,82.229,82.229,808.7544,0.0,82.229,272,0,7,9.835391406924565,9.24
2020-08-05,1011010801,食用菌,62.84,62.84,757.8292,0.0,62.84,179,0,7,12.059662635264162,9.45
2020-08-06,1011010101,花叶类,234.777,234.777,1788.7844,16.74,218.037,495,0,17,7.619078529838954,12.83
2020-08-06,1011010201,花菜类,40.827,40.827,394.476,0.0,40.827,84,0,2,9.662135351605556,15.51
2020-08-06,1011010402,水生根茎类,19.115000000000002,19.115000000000002,220.8958,0.0,19.115000000000002,36,0,3,11.556149620716713,13.65
2020-08-06,1011010501,茄类,31.596,31.596,252.768,0.0,31.596,57,0,2,8.0,6.68
2020-08-06,1011010504,辣椒类,74.047,74.047,731.4874,0.0,74.047,249,0,11,9.878690561400193,9.24
2020-08-06,1011010801,食用菌,48.611,48.611,596.5882,0.0,48.611,155,0,8,12.272699594741932,9.45
2020-08-07,1011010101,花叶类,204.941,204.941,1683.3442,6.229,198.712,426,0,17,8.213799093397611,12.83
2020-08-07,1011010201,花菜类,40.272,40.272,438.672,0.0,40.272,89,0,2,10.892729439809298,15.51
2020-08-07,1011010402,水生根茎类,25.415,25.415,312.622,0.0,25.415,50,0,4,12.30068856974228,13.65
2020-08-07,1011010501,茄类,51.799,51.799,266.16,0.0,51.799,90,0,3,5.138323133651229,6.68
2020-08-07,1011010504,辣椒类,78.611,78.611,789.528,0.0,78.611,262,0,10,10.043479920112961,9.24
2020-08-07,1011010801,食用菌,68.177,68.177,735.9746,0.0,68.177,179,0,11,10.79505698402687,9.45
2020-08-08,1011010101,花叶类,311.161,311.161,2505.7686,1.0,310.161,648,0,16,8.052964863848619,12.83
2020-08-08,1011010201,花菜类,58.156,58.156,619.868,0.0,58.156,132,0,2,10.658711053029783,15.51
2020-08-08,1011010402,水生根茎类,27.461,27.461,335.91,0.0,27.461,55,0,4,12.232256654892394,13.65
2020-08-08,1011010501,茄类,63.764,63.764,323.176,0.0,63.764,111,0,3,5.068314409384605,6.68
2020-08-08,1011010504,辣椒类,100.292,100.292,980.1272,0.0,100.292,340,0,8,9.772735612012923,9.24
2020-08-08,1011010801,食用菌,92.144,92.144,863.66,0.0,92.144,222,0,12,9.372938010071191,9.45
2020-08-09,1011010101,花叶类,250.59,250.59,2007.366,5.538,245.052,504,0,16,8.010559080569855,12.83
2020-08-09,1011010201,花菜类,54.876,54.876,655.23,0.0,54.876,117,0,2,11.940192433850864,15.51
2020-08-09,1011010402,水生根茎类,25.9,25.9,289.348,0.0,25.9,57,0,3,11.171737451737453,13.65
2020-08-09,1011010501,茄类,51.835,51.835,259.75,0.0,51.835,95,0,3,5.0110928909038295,6.68
2020-08-09,1011010504,辣椒类,73.684,73.684,729.5186,0.0,73.684,255,0,10,9.900637858965311,9.24
2020-08-09,1011010801,食用菌,73.073,73.073,930.362,0.0,73.073,232,0,10,12.731952978528321,9.45
2020-08-10,1011010101,花叶类,210.292,210.292,1730.7,5.341,204.951,464,0,15,8.229984973275256,12.83
2020-08-10,1011010201,花菜类,50.7,50.7,589.83,0.0,50.7,116,0,2,11.633727810650887,15.51
2020-08-10,1011010402,水生根茎类,30.683,30.683,342.8468,0.0,30.683,64,0,4,11.173835674477724,13.65
