销售日期,分类编码,分类名称,净销量,趋势,季节,残差
2020-11-19,1011010101,花叶类,207.8,243.846,-18.571,-17.475
2020-11-20,1011010101,花叶类,244.555,251.694,-32.826,25.687
2020-11-21,1011010101,花叶类,461.189,258.613,91.327,111.249
2020-11-22,1011010101,花叶类,371.968,264.482,90.567,16.919
2020-11-23,1011010101,花叶类,294.311,269.484,-61.478,86.305
2020-11-24,1011010101,花叶类,220.189,273.965,-40.455,-13.321
2020-11-25,1011010101,花叶类,237.713,276.626,-44.283,5.37
2020-11-26,1011010101,花叶类,282.923,276.902,-18.959,24.981
2020-11-27,1011010101,花叶类,225.596,276.354,-32.96,-17.797
2020-11-28,1011010101,花叶类,400.295,275.998,113.845,10.452
2020-11-29,1011010101,花叶类,287.707,275.539,107.318,-95.15
2020-11-30,1011010101,花叶类,207.353,273.875,-63.352,-3.17
2020-12-01,1011010101,花叶类,287.797,270.963,-46.581,63.416
2020-12-02,1011010101,花叶类,213.665,267.551,-51.079,-2.807
2020-12-03,1011010101,花叶类,274.097,263.937,-19.171,29.33
2020-12-04,1011010101,花叶类,242.529,259.45,-29.506,12.585
2020-12-05,1011010101,花叶类,306.959,254.174,80.942,-28.156
2020-12-06,1011010101,花叶类,367.129,248.507,115.425,3.196
2020-12-07,1011010101,花叶类,197.718,242.472,-48.688,3.934
2020-12-08,1011010101,花叶类,183.98,236.979,-41.402,-11.596
2020-12-09,1011010101,花叶类,180.673,233.211,-52.369,-0.169
2020-12-10,1011010101,花叶类,188.539,231.246,-23.93,-18.777
2020-12-11,1011010101,花叶类,212.51,229.217,-28.652,11.945
2020-12-12,1011010101,花叶类,269.619,226.002,70.056,-26.439
2020-12-13,1011010101,花叶类,375.781,222.056,112.136,41.589
2020-12-14,1011010101,花叶类,197.654,218.151,-39.936,19.44
2020-12-15,1011010101,花叶类,203.808,214.068,-32.407,22.148
2020-12-16,1011010101,花叶类,152.029,209.333,-51.728,-5.577
2020-12-17,1011010101,花叶类,167.799,203.569,-28.163,-7.607
2020-12-18,1011010101,花叶类,151.535,197.381,-25.041,-20.805
2020-12-19,1011010101,花叶类,266.55,191.6,65.749,9.201
2020-12-20,1011010101,花叶类,276.911,187.679,97.581,-8.348
2020-12-21,1011010101,花叶类,136.041,186.681,-33.079,-17.561
2020-12-22,1011010101,花叶类,152.185,188.104,-27.626,-8.293
2020-12-23,1011010101,花叶类,144.2,190.912,-48.142,1.429
2020-12-24,1011010101,花叶类,218.533,194.608,-27.944,51.869
2020-12-25,1011010101,花叶类,159.654,197.26,-12.361,-25.245
2020-12-26,1011010101,花叶类,285.224,199.113,59.874,26.237
2020-12-27,1011010101,花叶类,288.755,201.369,77.227,10.159
2020-12-28,1011010101,花叶类,251.455,202.792,-28.141,76.805
2020-12-29,1011010101,花叶类,223.512,202.518,-28.464,49.458
2020-12-30,1011010101,花叶类,146.39,200.923,-39.468,-15.066
2020-12-31,1011010101,花叶类,179.177,198.781,-26.941,7.337
2021-01-01,1011010101,花叶类,224.797,196.266,-0.366,28.897
2021-01-02,1011010101,花叶类,212.911,194.502,52.169,-33.76
2021-01-03,1011010101,花叶类,224.88,194.015,60.44,-29.575
2021-01-04,1011010101,花叶类,177.801,194.109,-23.275,6.967
2021-01-05,1011010101,花叶类,154.654,194.427,-25.612,-14.161
2021-01-06,1011010101,花叶类,176.824,195.067,-29.998,11.755
2021-01-07,1011010101,花叶类,161.628,196.432,-29.54,-5.264
2021-01-08,1011010101,花叶类,234.462,197.695,7.68,29.087
2021-01-09,1011010101,花叶类,233.427,197.786,40.308,-4.667
2021-01-10,1011010101,花叶类,250.645,196.763,44.497,9.385
2021-01-11,1011010101,花叶类,182.204,195.49,-17.33,4.045
2021-01-12,1011010101,花叶类,173.449,194.159,-16.896,-3.815
2021-01-13,1011010101,花叶类,172.101,193.037,-18.802,-2.134
2021-01-14,1011010101,花叶类,148.947,192.714,-31.4,-12.367
2021-01-15,1011010101,花叶类,171.213,193.412,2.918,-25.117
2021-01-16,1011010101,花叶类,252.825,195.307,32.357,25.161
2021-01-17,1011010101,花叶类,228.991,198.571,37.311,-6.891
2021-01-18,1011010101,花叶类,167.119,202.242,-14.108,-21.015
2021-01-19,1011010101,花叶类,216.055,205.916,-3.839,13.977
2021-01-20,1011010101,花叶类,197.824,209.202,-7.632,-3.747
2021-01-21,1011010101,花叶类,219.93,211.226,-29.601,38.304
2021-01-22,1011010101,花叶类,218.136,212.043,-11.923,18.016
2021-01-23,1011010101,花叶类,214.815,211.917,28.743,-25.845
2021-01-24,1011010101,花叶类,350.342,210.466,18.643,121.233
2021-01-25,1011010101,花叶类,224.149,208.07,-10.652,26.732
2021-01-26,1011010101,花叶类,215.643,205.473,9.332,0.838
2021-01-27,1011010101,花叶类,208.029,202.864,4.266,0.899
2021-01-28,1011010101,花叶类,160.384,200.571,-22.346,-17.841
2021-01-29,1011010101,花叶类,151.962,199.058,-18.928,-28.168
2021-01-30,1011010101,花叶类,236.777,198.65,18.8,19.326
2021-01-31,1011010101,花叶类,249.269,199.233,0.767,49.269
2021-02-01,1011010101,花叶类,181.621,200.474,-2.413,-16.44
2021-02-02,1011010101,花叶类,193.791,202.304,23.029,-31.542
2021-02-03,1011010101,花叶类,223.102,204.643,3.452,15.007
2021-02-04,1011010101,花叶类,197.832,207.332,-15.793,6.293
2021-02-05,1011010101,花叶类,194.292,211.017,-19.049,2.324
2021-02-06,1011010101,花叶类,212.817,216.181,13.013,-16.377
2021-02-07,1011010101,花叶类,193.778,221.164,-13.766,-13.619
2021-02-08,1011010101,花叶类,234.405,223.968,4.366,6.071
2021-02-09,1011010101,花叶类,282.558,225.381,36.508,20.669
2021-02-10,1011010101,花叶类,508.104,226.861,0.31,280.933
2021-02-11,1011010101,花叶类,0.0,227.499,-23.397,-204.102
2021-02-12,1011010101,花叶类,0.0,226.986,-11.534,-215.453
2021-02-13,1011010101,花叶类,243.485,225.483,9.182,8.82
2021-02-14,1011010101,花叶类,195.74,222.358,-29.384,2.766
2021-02-15,1011010101,花叶类,300.13,216.076,21.373,62.681
2021-02-16,1011010101,花叶类,253.696,207.755,35.36,10.581
2021-02-17,1011010101,花叶类,180.052,199.713,-4.064,-15.596
2021-02-18,1011010101,花叶类,227.336,192.594,-26.998,61.74
2021-02-19,1011010101,花叶类,184.169,188.569,0.363,-4.763
2021-02-20,1011010101,花叶类,175.262,187.257,11.661,-23.655
2021-02-21,1011010101,花叶类,144.855,187.372,-38.019,-4.498
2021-02-22,1011010101,花叶类,139.491,188.583,33.6,-82.692
2021-02-23,1011010101,花叶类,136.05,191.087,22.377,-77.414
2021-02-24,1011010101,花叶类,190.158,193.428,-10.652,7.382
2021-02-25,1011010101,花叶类,156.613,195.208,-42.71,4.114
2021-02-26,1011010101,花叶类,276.322,197.056,5.486,73.78
2021-02-27,1011010101,花叶类,218.04,197.483,12.811,7.747
2021-02-28,1011010101,花叶类,313.729,196.599,-12.295,129.425
2021-03-01,1011010101,花叶类,241.709,195.57,49.009,-2.869
2021-03-02,1011010101,花叶类,182.984,194.572,0.337,-11.925
2021-03-03,1011010101,花叶类,186.008,193.609,-20.515,12.913
2021-03-04,1011010101,花叶类,145.281,192.264,-31.989,-14.994
2021-03-05,1011010101,花叶类,211.185,189.871,6.817,14.497
2021-03-06,1011010101,花叶类,288.817,187.043,17.944,83.831
2021-03-07,1011010101,花叶类,270.819,183.567,7.573,79.678
2021-03-08,1011010101,花叶类,211.746,179.453,21.315,10.977
2021-03-09,1011010101,花叶类,170.907,174.702,-14.844,11.049
2021-03-10,1011010101,花叶类,119.599,168.874,-27.705,-21.57
2021-03-11,1011010101,花叶类,158.357,160.871,-22.099,19.585
2021-03-12,1011010101,花叶类,152.44,153.126,7.799,-8.485
2021-03-13,1011010101,花叶类,169.055,147.336,26.452,-4.733
2021-03-14,1011010101,花叶类,176.032,142.733,38.596,-5.297
2021-03-15,1011010101,花叶类,90.812,139.222,-3.927,-44.482
2021-03-16,1011010101,花叶类,100.121,137.523,-18.102,-19.299
2021-03-17,1011010101,花叶类,107.653,137.236,-33.814,4.231
2021-03-18,1011010101,花叶类,128.058,138.007,-15.081,5.132
2021-03-19,1011010101,花叶类,140.893,139.177,8.951,-7.235
2021-03-20,1011010101,花叶类,267.979,140.511,34.768,92.7
2021-03-21,1011010101,花叶类,199.712,141.938,34.633,23.141
2021-03-22,1011010101,花叶类,115.022,143.412,-20.483,-7.908
2021-03-23,1011010101,花叶类,134.706,144.322,-20.263,10.647
2021-03-24,1011010101,花叶类,103.505,144.665,-26.033,-15.127
2021-03-25,1011010101,花叶类,86.632,144.591,-13.564,-44.395
2021-03-26,1011010101,花叶类,167.327,144.712,7.827,14.788
2021-03-27,1011010101,花叶类,199.727,146.118,41.887,11.722
2021-03-28,1011010101,花叶类,161.164,148.93,31.267,-19.033
2021-03-29,1011010101,花叶类,111.308,152.388,-23.481,-17.599
2021-03-30,1011010101,花叶类,130.803,156.032,-22.267,-2.961
2021-03-31,1011010101,花叶类,143.294,159.687,-13.995,-2.399
2021-04-01,1011010101,花叶类,162.291,163.926,-19.569,17.934
2021-04-02,1011010101,花叶类,180.056,168.968,0.797,10.291
2021-04-03,1011010101,花叶类,212.267,172.428,44.521,-4.682
2021-04-04,1011010101,花叶类,192.021,173.195,29.949,-11.123
2021-04-05,1011010101,花叶类,178.469,172.649,-18.611,24.431
2021-04-06,1011010101,花叶类,55.611,171.897,-23.842,-92.444
2021-04-07,1011010101,花叶类,198.107,170.999,-4.243,31.351
2021-04-08,1011010101,花叶类,136.899,170.01,-21.584,-11.527
2021-04-09,1011010101,花叶类,145.026,168.461,-8.249,-15.186
2021-04-10,1011010101,花叶类,204.382,165.582,39.526,-0.726
2021-04-11,1011010101,花叶类,211.619,162.016,34.166,15.437
2021-04-12,1011010101,花叶类,148.371,159.458,-15.427,4.341
2021-04-13,1011010101,花叶类,127.207,157.883,-25.099,-5.577
2021-04-14,1011010101,花叶类,151.83,156.873,5.03,-10.074
2021-04-15,1011010101,花叶类,130.081,156.213,-23.973,-2.159
2021-04-16,1011010101,花叶类,130.808,156.2,-14.639,-10.753
2021-04-17,1011010101,花叶类,194.951,157.365,31.632,5.955
2021-04-18,1011010101,花叶类,194.451,159.949,41.418,-6.915
2021-04-19,1011010101,花叶类,134.781,163.516,-16.944,-11.791
2021-04-20,1011010101,花叶类,150.715,167.184,-20.529,4.061
2021-04-21,1011010101,花叶类,182.939,169.84,9.073,4.026
2021-04-22,1011010101,花叶类,150.806,171.079,-24.215,3.943
2021-04-23,1011010101,花叶类,171.226,171.075,-17.875,18.026
2021-04-24,1011010101,花叶类,264.803,169.978,19.927,74.898
2021-04-25,1011010101,花叶类,221.785,168.458,41.57,11.757
2021-04-26,1011010101,花叶类,151.258,166.915,-18.511,2.854
2021-04-27,1011010101,花叶类,135.216,164.925,-6.369,-23.34
2021-04-28,1011010101,花叶类,126.17,162.532,12.95,-49.312
2021-04-29,1011010101,花叶类,134.898,161.49,-22.788,-3.804
2021-04-30,1011010101,花叶类,138.585,162.973,-19.894,-4.494
2021-05-01,1011010101,花叶类,171.826,165.445,4.83,1.551
2021-05-02,1011010101,花叶类,198.544,168.225,41.193,-10.874
2021-05-03,1011010101,花叶类,226.265,170.786,-14.106,69.586
2021-05-04,1011010101,花叶类,200.985,172.532,3.095,25.358
2021-05-05,1011010101,花叶类,203.532,173.927,12.461,17.144
2021-05-06,1011010101,花叶类,151.84,175.336,-21.173,-2.323
2021-05-07,1011010101,花叶类,147.508,176.103,-29.397,0.802
2021-05-08,1011010101,花叶类,160.786,175.69,2.356,-17.259
2021-05-09,1011010101,花叶类,216.668,174.613,41.704,0.351
2021-05-10,1011010101,花叶类,157.721,174.06,-9.035,-7.304
2021-05-11,1011010101,花叶类,190.06,174.128,7.802,8.13
2021-05-12,1011010101,花叶类,182.519,174.455,7.779,0.284
2021-05-13,1011010101,花叶类,157.293,174.591,-18.997,1.699
2021-05-14,1011010101,花叶类,191.116,174.025,-37.5,54.591
2021-05-15,1011010101,花叶类,258.278,172.727,9.409,76.143
2021-05-16,1011010101,花叶类,212.588,170.956,43.873,-2.24
2021-05-17,1011010101,花叶类,176.658,169.159,-4.499,11.998
2021-05-18,1011010101,花叶类,173.271,167.508,0.287,5.476
2021-05-19,1011010101,花叶类,140.823,165.682,3.067,-27.926
2021-05-20,1011010101,花叶类,148.851,163.51,-17.216,2.556
2021-05-21,1011010101,花叶类,106.472,161.479,-41.771,-13.236
2021-05-22,1011010101,花叶类,190.363,160.066,17.815,12.482
2021-05-23,1011010101,花叶类,217.259,159.541,46.144,11.574
2021-05-24,1011010101,花叶类,148.831,159.644,2.06,-12.874
2021-05-25,1011010101,花叶类,130.325,159.686,-9.487,-19.874
2021-05-26,1011010101,花叶类,166.467,159.701,-2.172,8.938
2021-05-27,1011010101,花叶类,145.237,160.303,-19.355,4.289
2021-05-28,1011010101,花叶类,123.824,161.805,-44.006,6.026
2021-05-29,1011010101,花叶类,180.875,163.896,30.129,-13.149
2021-05-30,1011010101,花叶类,196.236,165.591,50.084,-19.439
2021-05-31,1011010101,花叶类,191.98,166.399,3.402,22.18
2021-06-01,1011010101,花叶类,151.091,166.695,-16.774,1.17
2021-06-02,1011010101,花叶类,178.517,166.82,-9.847,21.545
2021-06-03,1011010101,花叶类,142.372,166.771,-25.267,0.868
2021-06-04,1011010101,花叶类,121.093,165.931,-35.052,-9.786
2021-06-05,1011010101,花叶类,204.287,163.921,38.209,2.157
2021-06-06,1011010101,花叶类,222.817,161.405,51.248,10.164
2021-06-07,1011010101,花叶类,148.539,159.412,5.277,-16.149
2021-06-08,1011010101,花叶类,144.482,158.124,-20.292,6.649
2021-06-09,1011010101,花叶类,126.359,157.614,-21.344,-9.911
2021-06-10,1011010101,花叶类,122.004,157.231,-30.529,-4.699
2021-06-11,1011010101,花叶类,129.982,156.451,-23.965,-2.503
2021-06-12,1011010101,花叶类,210.267,155.535,45.585,9.147
2021-06-13,1011010101,花叶类,211.28,154.99,54.258,2.031
2021-06-14,1011010101,花叶类,170.686,154.722,1.195,14.77
2021-06-15,1011010101,花叶类,127.719,154.537,-23.702,-3.116
2021-06-16,1011010101,花叶类,104.991,154.043,-31.277,-17.776
2021-06-17,1011010101,花叶类,113.507,153.2,-29.666,-10.027
2021-06-18,1011010101,花叶类,150.875,152.375,-15.642,14.142
2021-06-19,1011010101,花叶类,203.369,152.057,48.595,2.717
2021-06-20,1011010101,花叶类,202.307,152.447,54.619,-4.759
2021-06-21,1011010101,花叶类,150.07,153.346,-2.637,-0.639
2021-06-22,1011010101,花叶类,126.727,154.109,-26.105,-1.277
2021-06-23,1011010101,花叶类,123.214,154.0,-32.022,1.235
2021-06-24,1011010101,花叶类,127.946,153.051,-23.883,-1.222
2021-06-25,1011010101,花叶类,146.582,152.002,-15.004,9.584
2021-06-26,1011010101,花叶类,197.69,151.515,43.741,2.434
2021-06-27,1011010101,花叶类,213.547,151.633,51.266,10.648
2021-06-28,1011010101,花叶类,125.782,152.027,-4.91,-21.336
2021-06-29,1011010101,花叶类,110.196,152.314,-20.973,-21.145
2021-06-30,1011010101,花叶类,125.415,152.985,-23.408,-4.162
2021-07-01,1011010101,花叶类,148.597,154.699,-18.992,12.889
2021-07-02,1011010101,花叶类,133.586,157.472,-25.045,1.16
2021-07-03,1011010101,花叶类,197.925,160.385,38.032,-0.492
2021-07-04,1011010101,花叶类,197.322,162.318,51.999,-16.996
2021-07-05,1011010101,花叶类,176.276,162.631,-7.922,21.567
2021-07-06,1011010101,花叶类,173.864,161.958,-17.55,29.457
2021-07-07,1011010101,花叶类,149.514,161.07,-15.738,4.181
2021-07-08,1011010101,花叶类,143.491,160.485,-18.028,1.033
2021-07-09,1011010101,花叶类,114.966,160.001,-31.545,-13.49
2021-07-10,1011010101,花叶类,176.065,159.2,35.022,-18.157
2021-07-11,1011010101,花叶类,212.957,158.675,52.808,1.475
2021-07-12,1011010101,花叶类,140.305,159.993,-8.683,-11.005
2021-07-13,1011010101,花叶类,149.772,163.018,-13.5,0.254
2021-07-14,1011010101,花叶类,163.863,166.825,-11.855,8.893
2021-07-15,1011010101,花叶类,141.75,170.263,-20.201,-8.311
2021-07-16,1011010101,花叶类,236.055,172.608,-29.71,93.157
2021-07-17,1011010101,花叶类,223.655,174.073,32.893,16.689
2021-07-18,1011010101,花叶类,234.028,175.205,54.147,4.676
2021-07-19,1011010101,花叶类,174.827,176.059,-17.525,16.293
2021-07-20,1011010101,花叶类,152.362,176.74,-14.321,-10.057
2021-07-21,1011010101,花叶类,152.653,177.184,-8.468,-16.063
2021-07-22,1011010101,花叶类,154.625,178.093,-17.849,-5.619
2021-07-23,1011010101,花叶类,150.636,180.235,-25.183,-4.416
2021-07-24,1011010101,花叶类,206.923,183.636,32.203,-8.916
2021-07-25,1011010101,花叶类,248.502,188.504,50.157,9.84
2021-07-26,1011010101,花叶类,155.365,194.383,-17.183,-21.835
2021-07-27,1011010101,花叶类,189.082,200.106,-21.59,10.565
2021-07-28,1011010101,花叶类,205.803,205.468,-9.031,9.366
2021-07-29,1011010101,花叶类,193.613,210.428,-4.938,-11.877
2021-07-30,1011010101,花叶类,214.155,214.685,-21.168,20.638
2021-07-31,1011010101,花叶类,255.972,217.998,29.388,8.585
2021-08-01,1011010101,花叶类,251.271,219.053,47.468,-15.25
2021-08-02,1011010101,花叶类,283.115,218.536,-18.23,82.809
2021-08-03,1011010101,花叶类,264.825,218.106,-27.309,74.027
2021-08-04,1011010101,花叶类,313.269,218.403,-10.89,105.755
2021-08-05,1011010101,花叶类,245.944,218.624,-1.833,29.153
2021-08-06,1011010101,花叶类,189.756,219.456,-18.769,-10.931
2021-08-07,1011010101,花叶类,232.089,221.664,32.123,-21.698
2021-08-08,1011010101,花叶类,265.775,225.038,51.313,-10.575
2021-08-09,1011010101,花叶类,234.344,228.887,-19.138,24.595
2021-08-10,1011010101,花叶类,193.189,231.804,-31.906,-6.709
2021-08-11,1011010101,花叶类,225.45,233.009,-15.674,8.115
2021-08-12,1011010101,花叶类,275.876,233.287,-5.057,47.646
